,game_id,outcomes
245,7645,LOSS
246,7646,WIN
247,7647,WIN
248,7648,LOSS
249,7649,WIN
250,7650,LOSS
251,7651,WIN
252,7652,LOSS
253,7653,WIN
254,7654,WIN
255,7655,LOSS
256,7656,WIN
257,7657,WIN
258,7658,WIN
259,7659,WIN
260,7660,WIN
261,7661,LOSS
262,7662,LOSS
263,7663,LOSS
264,7664,WIN
265,7665,WIN
266,7666,LOSS
267,7667,LOSS
268,7668,LOSS
269,7669,LOSS
270,7670,WIN
271,7671,LOSS
272,7672,WIN
273,7673,WIN
274,7674,WIN
275,7675,LOSS
276,7676,LOSS
277,7677,WIN
278,7678,WIN
279,7679,WIN
280,7680,WIN
281,7681,LOSS
282,7682,LOSS
283,7683,LOSS
284,7684,WIN
285,7685,LOSS
286,7686,LOSS
287,7687,WIN
288,7688,WIN
289,7689,WIN
290,7690,LOSS
291,7691,LOSS
292,7692,WIN
293,7693,WIN
294,7694,WIN
295,7695,WIN
296,7696,LOSS
297,7697,LOSS
298,7698,LOSS
299,7699,LOSS
300,7700,WIN
301,7701,WIN
302,7702,LOSS
303,7703,LOSS
304,7704,WIN
305,7705,LOSS
306,7706,WIN
307,7707,WIN
308,7708,LOSS
309,7709,WIN
310,7710,LOSS
311,7711,LOSS
312,7712,LOSS
313,7713,WIN
314,7714,LOSS
315,7715,WIN
316,7716,WIN
317,7717,LOSS
318,7718,WIN
319,7719,LOSS
320,7720,LOSS
321,7721,WIN
322,7722,WIN
323,7723,WIN
324,7724,LOSS
325,7725,WIN
326,7726,WIN
327,7727,WIN
328,7728,LOSS
329,7729,WIN
330,7730,WIN
331,7731,WIN
332,7732,LOSS
333,7733,WIN
334,7734,WIN
335,7735,WIN
336,7736,WIN
337,7737,WIN
338,7738,LOSS
339,7739,WIN
340,7740,LOSS
341,7741,WIN
342,7742,WIN
343,7743,WIN
344,7744,WIN
345,7745,WIN
346,7746,WIN
347,7747,LOSS
348,7748,WIN
349,7749,WIN
350,7750,WIN
351,7751,LOSS
352,7752,WIN
353,7753,LOSS
354,7754,WIN
355,7755,WIN
356,7756,WIN
357,7757,LOSS
358,7758,LOSS
359,7759,LOSS
360,7760,LOSS
361,7761,LOSS
362,7762,LOSS
363,7763,LOSS
364,7764,LOSS
365,7765,WIN
366,7766,LOSS
367,7767,LOSS
368,7768,WIN
369,7769,WIN
370,7770,LOSS
371,7771,WIN
372,7772,LOSS
373,7773,LOSS
374,7774,WIN
375,7775,LOSS
376,7776,LOSS
377,7777,WIN
378,7778,WIN
379,7779,WIN
380,7780,WIN
381,7781,LOSS
382,7782,LOSS
383,7783,LOSS
384,7784,WIN
385,7785,LOSS
386,7786,WIN
387,7787,LOSS
388,7788,WIN
389,7789,LOSS
390,7790,LOSS
391,7791,WIN
392,7792,WIN
393,7793,WIN
394,7794,WIN
395,7795,WIN
396,7796,WIN
397,7797,LOSS
398,7798,WIN
399,7799,WIN
400,7882,WIN
401,7883,WIN
402,7884,LOSS
403,7885,WIN
404,7886,WIN
405,7887,WIN
406,7888,WIN
407,7889,WIN
408,7890,LOSS
409,7891,WIN
410,7892,LOSS
411,7893,LOSS
412,7894,WIN
413,7895,WIN
414,7896,LOSS
415,7897,WIN
416,7898,LOSS
417,7899,WIN
418,7900,WIN
419,7901,WIN
420,7902,WIN
421,7903,WIN
422,7904,WIN
423,7905,WIN
424,7906,LOSS
425,7907,WIN
426,7908,LOSS
427,7909,LOSS
428,7910,WIN
429,7911,LOSS
430,7912,LOSS
431,7913,WIN
432,7914,WIN
433,7915,WIN
434,7916,LOSS
435,7917,LOSS
436,7918,LOSS
437,7919,WIN
438,7920,WIN
439,7921,LOSS
440,7922,WIN
441,7923,WIN
442,7924,WIN
443,7925,WIN
444,7926,LOSS
445,7927,LOSS
446,7928,WIN
447,7929,LOSS
448,7930,WIN
449,7931,WIN
450,7932,WIN
451,7933,WIN
452,7934,LOSS
453,7935,WIN
454,7936,WIN
455,7937,WIN
456,7938,LOSS
457,7939,LOSS
458,7940,WIN
459,7941,LOSS
460,7942,WIN
461,7943,WIN
462,7944,WIN
463,7945,LOSS
464,7946,LOSS
465,7947,WIN
466,7948,WIN
467,7949,LOSS
468,7950,WIN
469,7951,LOSS
470,7952,LOSS
471,7953,WIN
472,7954,WIN
473,7955,LOSS
474,7956,LOSS
475,7957,LOSS
476,7958,LOSS
477,7959,WIN
478,7960,WIN
479,7961,WIN
480,7962,WIN
481,7963,WIN
482,7964,LOSS
483,7965,LOSS
484,7966,WIN
485,7967,WIN
486,7968,LOSS
487,7969,WIN
488,7970,LOSS
489,7971,WIN
490,7972,LOSS
491,7973,WIN
492,7974,WIN
493,7975,WIN
494,7976,WIN
495,7977,WIN
496,7978,WIN
497,7979,LOSS
498,7980,WIN
499,7981,WIN
500,7982,LOSS
501,7983,WIN
502,7984,WIN
503,7985,WIN
504,7986,LOSS
505,7987,WIN
506,7988,LOSS
507,7989,WIN
508,7990,WIN
509,7991,LOSS
510,7992,LOSS
511,7993,LOSS
512,7994,WIN
513,7995,LOSS
514,7996,WIN
515,7997,WIN
516,7998,LOSS
517,7999,LOSS
518,8000,LOSS
519,8001,LOSS
520,8002,LOSS
521,8003,LOSS
522,8004,LOSS
523,8005,WIN
524,8006,WIN
525,8007,WIN
526,8008,WIN
527,8009,WIN
528,8010,LOSS
529,8011,WIN
530,8012,WIN
531,8013,LOSS
532,8014,WIN
533,8015,WIN
534,8016,WIN
535,8017,LOSS
536,8018,WIN
537,8019,WIN
538,8020,LOSS
539,8021,LOSS
540,8022,LOSS
541,8023,WIN
542,8024,LOSS
543,8025,WIN
544,8026,WIN
