,Unnamed: 0,date,Team,Player1,Player2,Player3,Player4,Player5,game_id,Location,Outcome,spread
11151,81,2015-04-15,ORL,A. Gordon,A. Nicholson,V. Oladipo,E. Payton,N. Vučević,3851.0,AWAY,LOSS,13.0
11152,0,2015-10-28,ORL,E. Fournier,T. Harris,V. Oladipo,E. Payton,N. Vučević,3948.0,HOME,LOSS,1.0
11153,1,2015-10-30,ORL,E. Fournier,T. Harris,V. Oladipo,E. Payton,N. Vučević,3966.0,HOME,LOSS,3.0
11154,2,2015-11-01,ORL,E. Fournier,T. Harris,V. Oladipo,E. Payton,N. Vučević,3987.0,AWAY,LOSS,5.0
11155,3,2015-11-03,ORL,E. Fournier,T. Harris,V. Oladipo,E. Payton,N. Vučević,4000.0,AWAY,WIN,9.0
11156,4,2015-11-04,ORL,E. Fournier,T. Harris,V. Oladipo,E. Payton,N. Vučević,4008.0,AWAY,LOSS,5.0
11157,5,2015-11-06,ORL,D. Dedmon,E. Fournier,T. Harris,V. Oladipo,E. Payton,4019.0,HOME,WIN,5.0
11158,6,2015-11-07,ORL,D. Dedmon,E. Fournier,T. Harris,V. Oladipo,E. Payton,4030.0,AWAY,WIN,8.0
11159,7,2015-11-09,ORL,D. Dedmon,E. Fournier,T. Harris,V. Oladipo,E. Payton,4043.0,AWAY,LOSS,13.0
11160,8,2015-11-11,ORL,D. Dedmon,E. Fournier,T. Harris,V. Oladipo,E. Payton,4058.0,HOME,WIN,2.0
11161,9,2015-11-13,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4072.0,HOME,WIN,9.0
11162,10,2015-11-14,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4083.0,AWAY,LOSS,9.0
11163,11,2015-11-18,ORL,E. Fournier,T. Harris,V. Oladipo,E. Payton,N. Vučević,4110.0,HOME,WIN,3.0
11164,12,2015-11-21,ORL,E. Fournier,T. Harris,V. Oladipo,E. Payton,N. Vučević,4133.0,HOME,LOSS,6.0
11165,13,2015-11-23,ORL,E. Fournier,T. Harris,V. Oladipo,E. Payton,N. Vučević,4147.0,AWAY,LOSS,14.0
11166,14,2015-11-25,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4160.0,HOME,WIN,9.0
11167,15,2015-11-27,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4172.0,HOME,WIN,24.0
11168,16,2015-11-29,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4194.0,HOME,WIN,19.0
11169,17,2015-12-01,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4209.0,AWAY,WIN,3.0
11170,18,2015-12-03,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4223.0,AWAY,WIN,9.0
11171,19,2015-12-05,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4242.0,AWAY,LOSS,2.0
11172,20,2015-12-08,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4261.0,AWAY,WIN,11.0
11173,21,2015-12-09,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4270.0,AWAY,LOSS,3.0
11174,22,2015-12-11,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4278.0,HOME,LOSS,35.0
11175,23,2015-12-14,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4302.0,AWAY,WIN,23.0
11176,24,2015-12-16,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4316.0,HOME,WIN,15.0
11177,25,2015-12-18,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4331.0,HOME,WIN,8.0
11178,26,2015-12-20,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4351.0,HOME,LOSS,3.0
11179,27,2015-12-21,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4356.0,AWAY,WIN,8.0
11180,28,2015-12-23,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4370.0,HOME,WIN,3.0
11181,29,2015-12-26,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4389.0,HOME,LOSS,7.0
11182,30,2015-12-28,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4404.0,HOME,WIN,15.0
11183,31,2015-12-30,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4419.0,HOME,WIN,7.0
11184,32,2016-01-01,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4434.0,AWAY,LOSS,12.0
11185,33,2016-01-02,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4443.0,AWAY,LOSS,25.0
