,slug,name,Team,Location,Opponent,Outcome,date,game_id1,game_id2,game_id3,game_id4,null_count
143293,johnsja01,James Johnson,MIAMI_HEAT,HOME,MILWAUKEE_BUCKS,WIN,2018-01-14,7202.0,,7211.0,,2
62329,jordaje01,Jerome Jordan,BROOKLYN_NETS,AWAY,MEMPHIS_GRIZZLIES,LOSS,2015-02-10,,3408.0,3415.0,,2
165199,harremo01,Montrezl Harrell,LOS_ANGELES_CLIPPERS,AWAY,NEW_ORLEANS_PELICANS,WIN,2018-12-03,,8221.0,8229.0,,2
94153,mooreet01,E'Twaun Moore,CHICAGO_BULLS,HOME,MIAMI_HEAT,LOSS,2016-03-11,,4903.0,,4909.0,2
111908,harremo01,Montrezl Harrell,HOUSTON_ROCKETS,AWAY,DALLAS_MAVERICKS,WIN,2016-12-27,5724.0,,5732.0,,2
25321,augusdj01,D.J. Augustin,CHICAGO_BULLS,HOME,TORONTO_RAPTORS,LOSS,2013-12-14,,1649.0,,1658.0,2
192442,klebima01,Maxi Kleber,DALLAS_MAVERICKS,HOME,MINNESOTA_TIMBERWOLVES,WIN,2019-12-04,,9493.0,,9505.0,2
84675,acyqu01,Quincy Acy,SACRAMENTO_KINGS,AWAY,DALLAS_MAVERICKS,LOSS,2016-01-05,,4460.0,4466.0,,2
98542,vonleno01,Noah Vonleh,PORTLAND_TRAIL_BLAZERS,HOME,OKLAHOMA_CITY_THUNDER,WIN,2016-04-06,,5105.0,,5114.0,2
29510,anderal01,Alan Anderson,BROOKLYN_NETS,AWAY,TORONTO_RAPTORS,LOSS,2014-01-11,1846.0,,1855.0,,2
120293,feliccr01,Cristiano Felício,CHICAGO_BULLS,AWAY,CLEVELAND_CAVALIERS,WIN,2017-02-25,6118.0,,6129.0,,2
14792,millemi01,Mike Miller,MIAMI_HEAT,HOME,MILWAUKEE_BUCKS,WIN,2013-04-09,1155.0,,1166.0,,2
