,slug,name,Team,Location,Opponent,Outcome,date,final_id
43609,acyqu01,Quincy Acy,SACRAMENTO_KINGS,HOME,PHOENIX_SUNS,LOSS,2014-04-16,2543
134894,moreler01,Eric Moreland,DETROIT_PISTONS,AWAY,MINNESOTA_TIMBERWOLVES,WIN,2017-11-19,6806
108643,millspa01,Paul Millsap,ATLANTA_HAWKS,HOME,MIAMI_HEAT,WIN,2016-12-07,5581
139293,bembrde01,DeAndre' Bembry,ATLANTA_HAWKS,HOME,MIAMI_HEAT,WIN,2017-12-18,7011
136060,cartevi01,Vince Carter,SACRAMENTO_KINGS,AWAY,GOLDEN_STATE_WARRIORS,WIN,2017-11-27,6864
186322,leverca01,Caris LeVert,BROOKLYN_NETS,HOME,NEW_YORK_KNICKS,WIN,2019-10-25,9211
199685,ennisja01,James Ennis,PHILADELPHIA_76ERS,AWAY,BROOKLYN_NETS,WIN,2020-01-20,9833
162883,iwundwe01,Wesley Iwundu,ORLANDO_MAGIC,HOME,NEW_YORK_KNICKS,WIN,2018-11-18,8116
71750,brownma02,Markel Brown,BROOKLYN_NETS,HOME,ORLANDO_MAGIC,WIN,2015-04-15,3850
200703,hutchch01,Chandler Hutchison,CHICAGO_BULLS,HOME,SAN_ANTONIO_SPURS,WIN,2020-01-27,9887
161616,harteis01,Isaiah Hartenstein,HOUSTON_ROCKETS,AWAY,SAN_ANTONIO_SPURS,LOSS,2018-11-10,8061
125872,barneha02,Harrison Barnes,DALLAS_MAVERICKS,AWAY,MEMPHIS_GRIZZLIES,LOSS,2017-03-31,6388
47297,anticpe01,Pero Antić,ATLANTA_HAWKS,AWAY,CHARLOTTE_HORNETS,LOSS,2014-11-07,2703
148489,poweldw01,Dwight Powell,DALLAS_MAVERICKS,AWAY,LOS_ANGELES_LAKERS,LOSS,2018-02-23,7450
111189,mcgeeja01,JaVale McGee,GOLDEN_STATE_WARRIORS,AWAY,BROOKLYN_NETS,WIN,2016-12-22,5696
15346,evansty01,Tyreke Evans,SACRAMENTO_KINGS,AWAY,SAN_ANTONIO_SPURS,LOSS,2013-04-12,1185
48838,cartemi01,Michael Carter-Williams,PHILADELPHIA_76ERS,AWAY,SAN_ANTONIO_SPURS,LOSS,2014-11-17,2784
84923,nelsoja01,Jameer Nelson,DENVER_NUGGETS,AWAY,MINNESOTA_TIMBERWOLVES,WIN,2016-01-06,4473
8302,jennibr01,Brandon Jennings,MILWAUKEE_BUCKS,AWAY,DALLAS_MAVERICKS,WIN,2013-02-26,847
151395,ellinwa01,Wayne Ellington,MIAMI_HEAT,AWAY,SACRAMENTO_KINGS,LOSS,2018-03-14,7585
135308,gasolma01,Marc Gasol,MEMPHIS_GRIZZLIES,HOME,DALLAS_MAVERICKS,LOSS,2017-11-22,6828
1039,hamilri01,Richard Hamilton,CHICAGO_BULLS,HOME,CLEVELAND_CAVALIERS,WIN,2013-01-07,504
112849,holidju01,Justin Holiday,NEW_YORK_KNICKS,HOME,ORLANDO_MAGIC,LOSS,2017-01-02,5774
182199,harrijo01,Joe Harris,BROOKLYN_NETS,HOME,BOSTON_CELTICS,WIN,2019-03-30,9017
149049,wadedw01,Dwyane Wade,MIAMI_HEAT,HOME,PHILADELPHIA_76ERS,WIN,2018-02-27,7476
126318,dunnkr01,Kris Dunn,MINNESOTA_TIMBERWOLVES,HOME,PORTLAND_TRAIL_BLAZERS,WIN,2017-04-03,6412
43946,douglch01,Chris Douglas-Roberts,CHARLOTTE_BOBCATS,AWAY,MIAMI_HEAT,LOSS,2014-04-20,2549
8819,crawfjo02,Jordan Crawford,BOSTON_CELTICS,HOME,GOLDEN_STATE_WARRIORS,WIN,2013-03-01,866
172992,lavinza01,Zach LaVine,CHICAGO_BULLS,HOME,ATLANTA_HAWKS,LOSS,2019-01-23,8591
178798,harriga01,Gary Harris,DENVER_NUGGETS,AWAY,GOLDEN_STATE_WARRIORS,LOSS,2019-03-08,8864
57901,monrogr01,Greg Monroe,DETROIT_PISTONS,HOME,NEW_ORLEANS_PELICANS,LOSS,2015-01-14,3209
111124,youngth01,Thaddeus Young,INDIANA_PACERS,HOME,BOSTON_CELTICS,LOSS,2016-12-22,5695
157019,tatumja01,Jayson Tatum,BOSTON_CELTICS,HOME,PHILADELPHIA_76ERS,WIN,2018-05-03,7851
161389,spellom01,Omari Spellman,ATLANTA_HAWKS,HOME,DETROIT_PISTONS,LOSS,2018-11-09,8049
124846,porteot01,Otto Porter,WASHINGTON_WIZARDS,AWAY,CLEVELAND_CAVALIERS,WIN,2017-03-25,6341
159248,johnswe01,Wesley Johnson,NEW_ORLEANS_PELICANS,HOME,BROOKLYN_NETS,WIN,2018-10-26,7952
88464,denglu01,Luol Deng,MIAMI_HEAT,AWAY,MILWAUKEE_BUCKS,WIN,2016-01-29,4643
6095,mahinia01,Ian Mahinmi,INDIANA_PACERS,HOME,TORONTO_RAPTORS,LOSS,2013-02-08,735
82710,splitti01,Tiago Splitter,ATLANTA_HAWKS,HOME,DETROIT_PISTONS,WIN,2015-12-23,4372
90657,kaunsa01,Sasha Kaun,CLEVELAND_CAVALIERS,HOME,CHICAGO_BULLS,WIN,2016-02-18,4746
181487,udohek01,Ekpe Udoh,UTAH_JAZZ,HOME,PHOENIX_SUNS,WIN,2019-03-25,8985
56025,leeda02,David Lee,GOLDEN_STATE_WARRIORS,HOME,TORONTO_RAPTORS,WIN,2015-01-02,3125
111412,gallola01,Langston Galloway,NEW_ORLEANS_PELICANS,HOME,MIAMI_HEAT,WIN,2016-12-23,5708
141359,markkla01,Lauri Markkanen,CHICAGO_BULLS,HOME,PORTLAND_TRAIL_BLAZERS,LOSS,2018-01-01,7115
