,Game Date,Box Score,Team,Player1,Player2,Player3,Player4,Player5
63,2014-03-15,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
64,2014-03-17,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
65,2014-03-18,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
66,2014-03-21,Box Score,ATL,P. Antić,D. Carroll,S. Mack,P. Millsap,J. Teague
67,2014-03-23,Box Score,ATL,P. Antić,D. Carroll,S. Mack,P. Millsap,J. Teague
68,2014-03-24,Box Score,ATL,P. Antić,D. Carroll,S. Mack,P. Millsap,J. Teague
69,2014-03-26,Box Score,ATL,P. Antić,D. Carroll,P. Millsap,M. Scott,J. Teague
70,2014-03-27,Box Score,ATL,E. Brand,D. Carroll,S. Mack,P. Millsap,J. Teague
71,2014-03-29,Box Score,ATL,P. Antić,S. Mack,C. Martin,P. Millsap,J. Teague
72,2014-03-31,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
73,2014-04-02,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
74,2014-04-04,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
75,2014-04-06,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
76,2014-04-08,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
77,2014-04-09,Box Score,ATL,E. Brand,D. Carroll,K. Korver,P. Millsap,J. Teague
78,2014-04-11,Box Score,ATL,E. Brand,D. Carroll,K. Korver,P. Millsap,J. Teague
79,2014-04-12,Box Score,ATL,E. Brand,D. Carroll,K. Korver,P. Millsap,J. Teague
80,2014-04-14,Box Score,ATL,P. Antić,C. Martin,M. Scott,J. Teague,L. Williams
81,2014-04-16,Box Score,ATL,P. Antić,D. Carroll,K. Korver,M. Scott,J. Teague
0,2014-10-29,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
1,2014-11-01,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
2,2014-11-05,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
3,2014-11-07,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
4,2014-11-08,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
5,2014-11-10,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
6,2014-11-12,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
7,2014-11-14,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
8,2014-11-15,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
9,2014-11-18,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
10,2014-11-21,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
11,2014-11-25,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
12,2014-11-26,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
13,2014-11-28,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
14,2014-11-29,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
15,2014-12-02,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
16,2014-12-03,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
17,2014-12-05,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
18,2014-12-07,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
19,2014-12-08,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
20,2014-12-10,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
21,2014-12-12,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
22,2014-12-13,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
23,2014-12-15,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
24,2014-12-17,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,D. Schröder
25,2014-12-20,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,D. Schröder
26,2014-12-22,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,D. Schröder
27,2014-12-23,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,D. Schröder
28,2014-12-26,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
29,2014-12-27,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
30,2014-12-30,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
31,2015-01-02,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
32,2015-01-03,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
33,2015-01-05,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
34,2015-01-07,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
35,2015-01-09,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
36,2015-01-11,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
37,2015-01-13,Box Score,ATL,A. Horford,K. Korver,M. Muscala,D. Schröder,T. Sefolosha
38,2015-01-14,Box Score,ATL,P. Antić,D. Carroll,P. Millsap,T. Sefolosha,J. Teague
39,2015-01-16,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
40,2015-01-17,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
41,2015-01-19,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
42,2015-01-21,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
43,2015-01-23,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
44,2015-01-25,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
45,2015-01-28,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
46,2015-01-30,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
47,2015-01-31,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
48,2015-02-02,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
49,2015-02-04,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
50,2015-02-06,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
51,2015-02-08,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
52,2015-02-09,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
53,2015-02-11,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
54,2015-02-20,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
55,2015-02-22,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
56,2015-02-25,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
57,2015-02-27,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
58,2015-02-28,Box Score,ATL,K. Bazemore,E. Brand,K. Korver,P. Millsap,D. Schröder
59,2015-03-03,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
60,2015-03-06,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
61,2015-03-07,Box Score,ATL,K. Bazemore,A. Horford,J. Jenkins,M. Muscala,J. Teague
62,2015-03-09,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
63,2015-03-11,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
64,2015-03-13,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
65,2015-03-15,Box Score,ATL,P. Antić,K. Bazemore,A. Horford,K. Korver,D. Schröder
66,2015-03-16,Box Score,ATL,K. Bazemore,E. Brand,D. Carroll,P. Millsap,J. Teague
67,2015-03-18,Box Score,ATL,K. Bazemore,D. Carroll,A. Horford,P. Millsap,J. Teague
68,2015-03-20,Box Score,ATL,K. Bazemore,D. Carroll,A. Horford,P. Millsap,J. Teague
69,2015-03-22,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
70,2015-03-25,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
71,2015-03-27,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,D. Schröder
72,2015-03-28,Box Score,ATL,K. Bazemore,E. Brand,J. Jenkins,M. Muscala,D. Schröder
73,2015-03-30,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
74,2015-03-31,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
75,2015-04-04,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
76,2015-04-07,Box Score,ATL,D. Carroll,A. Horford,K. Korver,M. Muscala,J. Teague
77,2015-04-08,Box Score,ATL,D. Carroll,A. Horford,K. Korver,M. Muscala,J. Teague
78,2015-04-10,Box Score,ATL,D. Carroll,A. Horford,K. Korver,M. Muscala,J. Teague
79,2015-04-12,Box Score,ATL,K. Bazemore,E. Brand,J. Jenkins,M. Muscala,D. Schröder
80,2015-04-13,Box Score,ATL,D. Carroll,A. Horford,K. Korver,M. Muscala,J. Teague
81,2015-04-15,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
0,2015-10-27,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
1,2015-10-29,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
2,2015-10-30,Box Score,ATL,K. Bazemore,A. Horford,P. Millsap,D. Schröder,J. Teague
3,2015-11-01,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
4,2015-11-03,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
5,2015-11-04,Box Score,ATL,K. Bazemore,A. Horford,P. Millsap,D. Schröder,J. Teague
6,2015-11-06,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
7,2015-11-07,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
8,2015-11-09,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
9,2015-11-11,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
10,2015-11-13,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
11,2015-11-15,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,D. Schröder
12,2015-11-17,Box Score,ATL,A. Horford,K. Korver,P. Millsap,D. Schröder,T. Splitter
13,2015-11-18,Box Score,ATL,J. Holiday,A. Horford,K. Korver,P. Millsap,D. Schröder
14,2015-11-21,Box Score,ATL,A. Horford,K. Korver,P. Millsap,D. Schröder,T. Sefolosha
15,2015-11-24,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
16,2015-11-25,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
17,2015-11-27,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
18,2015-11-28,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
19,2015-11-30,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
20,2015-12-02,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
21,2015-12-04,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
22,2015-12-09,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
23,2015-12-10,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
24,2015-12-12,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
25,2015-12-14,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
26,2015-12-16,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
27,2015-12-18,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
28,2015-12-20,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
29,2015-12-21,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
30,2015-12-23,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
31,2015-12-26,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
32,2015-12-28,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
33,2015-12-29,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
34,2016-01-03,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
35,2016-01-05,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
36,2016-01-07,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
37,2016-01-09,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
38,2016-01-13,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
39,2016-01-15,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
