,Game Date,Box Score,Team,Player1,Player2,Player3,Player4,Player5
67,2019-03-16,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
68,2019-03-18,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
69,2019-03-21,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
70,2019-03-22,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
71,2019-03-24,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
72,2019-03-26,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
73,2019-03-28,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
74,2019-03-29,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
75,2019-03-31,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
76,2019-04-02,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
77,2019-04-03,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
78,2019-04-05,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
79,2019-04-07,Box Score,DEN,W. Barton,G. Harris,T. Lyles,M. Morris,M. Plumlee
80,2019-04-09,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
81,2019-04-10,Box Score,DEN,W. Barton,G. Harris,N. Jokić,P. Millsap,J. Murray
0,2013-10-30,Box Score,DET,C. Billups,W. Bynum,A. Drummond,G. Monroe,J. Smith
1,2013-11-01,Box Score,DET,C. Billups,W. Bynum,A. Drummond,G. Monroe,J. Smith
2,2013-11-03,Box Score,DET,C. Billups,W. Bynum,A. Drummond,G. Monroe,J. Smith
3,2013-11-05,Box Score,DET,C. Billups,A. Drummond,B. Jennings,G. Monroe,J. Smith
4,2013-11-08,Box Score,DET,C. Billups,A. Drummond,B. Jennings,G. Monroe,J. Smith
5,2013-11-11,Box Score,DET,C. Billups,A. Drummond,B. Jennings,G. Monroe,J. Smith
6,2013-11-12,Box Score,DET,C. Billups,A. Drummond,B. Jennings,G. Monroe,J. Smith
7,2013-11-15,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
8,2013-11-17,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
9,2013-11-19,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
10,2013-11-20,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
11,2013-11-22,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
12,2013-11-24,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
13,2013-11-25,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
14,2013-11-27,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
15,2013-11-29,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
16,2013-12-01,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
17,2013-12-03,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
18,2013-12-04,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
19,2013-12-07,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
20,2013-12-08,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
21,2013-12-10,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
22,2013-12-11,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
23,2013-12-13,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
24,2013-12-15,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
25,2013-12-16,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
26,2013-12-18,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
27,2013-12-20,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
28,2013-12-21,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
29,2013-12-23,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
30,2013-12-27,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
31,2013-12-28,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
32,2013-12-30,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
33,2014-01-05,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
34,2014-01-07,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
35,2014-01-08,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
36,2014-01-10,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
37,2014-01-11,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
38,2014-01-17,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
39,2014-01-18,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
40,2014-01-20,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
41,2014-01-22,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
42,2014-01-24,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
43,2014-01-26,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
44,2014-01-28,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
45,2014-02-01,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
46,2014-02-03,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
47,2014-02-05,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
48,2014-02-07,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
49,2014-02-08,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
50,2014-02-10,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
51,2014-02-12,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
52,2014-02-18,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
53,2014-02-19,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
54,2014-02-21,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
55,2014-02-22,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
56,2014-02-24,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
57,2014-02-26,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
58,2014-03-01,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
59,2014-03-03,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
60,2014-03-05,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
61,2014-03-07,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
62,2014-03-09,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
63,2014-03-11,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
64,2014-03-12,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
65,2014-03-15,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
66,2014-03-19,Box Score,DET,B. Jennings,G. Monroe,K. Singler,J. Smith,R. Stuckey
67,2014-03-21,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
68,2014-03-22,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
69,2014-03-24,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
70,2014-03-26,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
71,2014-03-28,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
72,2014-03-29,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
73,2014-03-31,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
74,2014-04-02,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
75,2014-04-04,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
76,2014-04-05,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,J. Smith
77,2014-04-08,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,R. Stuckey
78,2014-04-09,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,R. Stuckey
79,2014-04-11,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,R. Stuckey
80,2014-04-13,Box Score,DET,A. Drummond,B. Jennings,G. Monroe,K. Singler,R. Stuckey
81,2014-04-16,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
0,2014-10-29,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
1,2014-10-30,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
2,2014-11-01,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
3,2014-11-05,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
4,2014-11-07,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
5,2014-11-09,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
6,2014-11-10,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
7,2014-11-12,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
8,2014-11-14,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
9,2014-11-15,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
10,2014-11-17,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
11,2014-11-19,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
12,2014-11-21,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
13,2014-11-25,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,J. Smith
14,2014-11-26,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,J. Smith
15,2014-11-28,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,J. Smith
16,2014-11-30,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
17,2014-12-02,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
18,2014-12-03,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
19,2014-12-06,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
20,2014-12-07,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
21,2014-12-09,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
22,2014-12-12,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith
23,2014-12-13,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
24,2014-12-15,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
25,2014-12-17,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
26,2014-12-19,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
27,2014-12-21,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,K. Singler,J. Smith
28,2014-12-26,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
29,2014-12-28,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
30,2014-12-30,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
31,2015-01-02,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
32,2015-01-04,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
33,2015-01-06,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
34,2015-01-07,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
35,2015-01-09,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
36,2015-01-10,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
37,2015-01-12,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
38,2015-01-14,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
39,2015-01-16,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
40,2015-01-17,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
41,2015-01-19,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
42,2015-01-21,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
43,2015-01-24,Box Score,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler
44,2015-01-25,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,K. Singler
45,2015-01-27,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,K. Singler
46,2015-01-28,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,K. Singler
47,2015-01-31,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,K. Singler
48,2015-02-03,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,K. Singler
49,2015-02-04,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,K. Singler
50,2015-02-06,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,K. Singler
51,2015-02-08,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,K. Singler
52,2015-02-10,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,K. Singler
53,2015-02-11,Box Score,DET,D. Augustin,K. Caldwell-Pope,A. Drummond,G. Monroe,K. Singler
54,2015-02-20,Box Score,DET,C. Butler,K. Caldwell-Pope,S. Dinwiddie,A. Drummond,G. Monroe
55,2015-02-22,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe
56,2015-02-24,Box Score,DET,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe,T. Prince
57,2015-02-27,Box Score,DET,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe,T. Prince
58,2015-02-28,Box Score,DET,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe,T. Prince
59,2015-03-04,Box Score,DET,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe,T. Prince
60,2015-03-06,Box Score,DET,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe,T. Prince
61,2015-03-08,Box Score,DET,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe,T. Prince
62,2015-03-10,Box Score,DET,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe,T. Prince
63,2015-03-11,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe
64,2015-03-13,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe
65,2015-03-14,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe
66,2015-03-17,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver
67,2015-03-18,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver
68,2015-03-21,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver
69,2015-03-22,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver
70,2015-03-24,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver
71,2015-03-27,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver
72,2015-03-29,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver
73,2015-03-31,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver
74,2015-04-01,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver
75,2015-04-03,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver
76,2015-04-04,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver
77,2015-04-08,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe
78,2015-04-10,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe
79,2015-04-12,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe
80,2015-04-13,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe
81,2015-04-15,Box Score,DET,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,G. Monroe
0,2015-10-27,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
1,2015-10-28,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
2,2015-10-30,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
3,2015-11-03,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
4,2015-11-06,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
5,2015-11-08,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
6,2015-11-09,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
7,2015-11-11,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
8,2015-11-14,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
9,2015-11-15,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
10,2015-11-17,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
11,2015-11-20,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
12,2015-11-21,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
13,2015-11-23,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
14,2015-11-25,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
15,2015-11-27,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
16,2015-11-29,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
17,2015-11-30,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
18,2015-12-02,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
19,2015-12-04,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
20,2015-12-06,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
21,2015-12-07,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
22,2015-12-09,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
23,2015-12-11,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
24,2015-12-12,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
25,2015-12-14,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
26,2015-12-16,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
27,2015-12-18,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
28,2015-12-22,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
29,2015-12-23,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
30,2015-12-26,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
31,2015-12-29,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
32,2015-12-31,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
33,2016-01-02,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
34,2016-01-04,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
35,2016-01-06,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
36,2016-01-09,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,S. Johnson
37,2016-01-12,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
38,2016-01-14,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
39,2016-01-16,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
40,2016-01-18,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
41,2016-01-20,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
42,2016-01-21,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
43,2016-01-23,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
44,2016-01-25,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
45,2016-01-27,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
46,2016-01-29,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
47,2016-01-30,Box Score,DET,K. Caldwell-Pope,A. Drummond,R. Jackson,M. Morris,A. Tolliver
48,2016-02-01,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
49,2016-02-03,Box Score,DET,K. Caldwell-Pope,A. Drummond,E. İlyasova,R. Jackson,M. Morris
50,2016-02-04,Box Score,DET,A. Drummond,E. İlyasova,R. Jackson,S. Johnson,M. Morris
51,2016-02-06,Box Score,DET,A. Drummond,E. İlyasova,R. Jackson,S. Johnson,M. Morris
52,2016-02-08,Box Score,DET,A. Drummond,E. İlyasova,R. Jackson,S. Johnson,M. Morris
53,2016-02-10,Box Score,DET,A. Drummond,B. Jennings,S. Johnson,M. Morris,A. Tolliver
54,2016-02-19,Box Score,DET,K. Caldwell-Pope,A. Drummond,R. Jackson,M. Morris,A. Tolliver
55,2016-02-21,Box Score,DET,K. Caldwell-Pope,A. Drummond,R. Jackson,M. Morris,A. Tolliver
56,2016-02-22,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
57,2016-02-24,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
58,2016-02-27,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
59,2016-02-28,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
60,2016-03-02,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
61,2016-03-05,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
62,2016-03-06,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
63,2016-03-09,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
64,2016-03-11,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
65,2016-03-12,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
66,2016-03-14,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
67,2016-03-16,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
68,2016-03-18,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
69,2016-03-19,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
70,2016-03-21,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
71,2016-03-23,Box Score,DET,A. Drummond,T. Harris,D. Hilliard,R. Jackson,M. Morris
72,2016-03-25,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
73,2016-03-26,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
74,2016-03-29,Box Score,DET,K. Caldwell-Pope,A. Drummond,T. Harris,R. Jackson,M. Morris
