,name,slug,year,Team,Lineup_name
1187,DeMar DeRozan,derozde01,2014,TOR,D. DeRozan
1188,Boris Diaw,diawbo01,2014,SAS,B. Diaw
1189,Gorgui Dieng,dienggo01,2014,MIN,G. Dieng
1190,Toney Douglas,douglto01,2014,GSW,T. Douglas
1191,Toney Douglas,douglto01,2014,MIA,T. Douglas
1192,Chris Douglas-Roberts,douglch01,2014,CHO,C. Douglas-Roberts
1193,Goran Dragić,dragigo01,2014,PHO,G. Dragić
1194,Andre Drummond,drumman01,2014,DET,A. Drummond
1195,Jared Dudley,dudleja01,2014,LAC,J. Dudley
1196,Tim Duncan,duncati01,2014,SAS,T. Duncan
1197,Mike Dunleavy,dunlemi02,2014,CHI,M. Dunleavy
1198,Kevin Durant,duranke01,2014,OKC,K. Durant
1199,Shane Edwards,edwarsh01,2014,CLE,S. Edwards
1200,Wayne Ellington,ellinwa01,2014,DAL,W. Ellington
1201,Monta Ellis,ellismo01,2014,DAL,M. Ellis
1202,Melvin Ely,elyme01,2014,NOP,M. Ely
1203,Jeremy Evans,evansje01,2014,UTA,J. Evans
1204,Reggie Evans,evansre01,2014,BRK,R. Evans
1205,Reggie Evans,evansre01,2014,SAC,R. Evans
1206,Tyreke Evans,evansty01,2014,NOP,T. Evans
1207,Kenneth Faried,farieke01,2014,DEN,K. Faried
1208,Jordan Farmar,farmajo01,2014,LAL,J. Farmar
1209,Vítor Faverani,favervi01,2014,BOS,V. Faverani
1210,Derrick Favors,favorde01,2014,UTA,D. Favors
1211,Carrick Felix,felixca01,2014,CLE,C. Felix
1212,Raymond Felton,feltora01,2014,NYK,R. Felton
1213,Landry Fields,fieldla01,2014,TOR,L. Fields
1214,Derek Fisher,fishede01,2014,OKC,D. Fisher
1215,Evan Fournier,fournev01,2014,DEN,E. Fournier
1216,Randy Foye,foyera01,2014,DEN,R. Foye
1217,Jamaal Franklin,frankja01,2014,MEM,J. Franklin
1218,Jimmer Fredette,fredeji01,2014,SAC,J. Fredette
1219,Jimmer Fredette,fredeji01,2014,CHI,J. Fredette
1220,Joel Freeland,freeljo01,2014,POR,J. Freeland
1221,Channing Frye,fryech01,2014,PHO,C. Frye
1222,Francisco García,garcifr01,2014,HOU,F. García
1223,Kevin Garnett,garneke01,2014,BRK,K. Garnett
1224,Diante Garrett,garredi02,2014,UTA,D. Garrett
1225,Marc Gasol,gasolma01,2014,MEM,M. Gasol
1226,Pau Gasol,gasolpa01,2014,LAL,P. Gasol
1227,Rudy Gay,gayru01,2014,TOR,R. Gay
1228,Rudy Gay,gayru01,2014,SAC,R. Gay
1229,Alonzo Gee,geeal01,2014,CLE,A. Gee
1230,Paul George,georgpa01,2014,IND,P. George
1231,Taj Gibson,gibsota01,2014,CHI,T. Gibson
1232,Manu Ginóbili,ginobma01,2014,SAS,M. Ginóbili
1233,Rudy Gobert,goberru01,2014,UTA,R. Gobert
1234,Ryan Gomes,gomesry01,2014,OKC,R. Gomes
1235,Drew Gooden,goodedr01,2014,WAS,D. Gooden
1236,Archie Goodwin,goodwar01,2014,PHO,A. Goodwin
1237,Ben Gordon,gordobe01,2014,CHO,B. Gordon
1238,Eric Gordon,gordoer01,2014,NOP,E. Gordon
1239,Marcin Gortat,gortama01,2014,WAS,M. Gortat
1240,Danny Granger,grangda01,2014,IND,D. Granger
1241,Danny Granger,grangda01,2014,LAC,D. Granger
1242,Aaron Gray,grayaa01,2014,TOR,A. Gray
1243,Aaron Gray,grayaa01,2014,SAC,A. Gray
1244,Danny Green,greenda02,2014,SAS,D. Green
1245,Draymond Green,greendr01,2014,GSW,D. Green
1246,Gerald Green,greenge01,2014,PHO,G. Green
1247,Jeff Green,greenje02,2014,BOS,J. Green
1248,Willie Green,greenwi01,2014,LAC,W. Green
1249,Blake Griffin,griffbl01,2014,LAC,B. Griffin
1250,Jorge Gutiérrez,gutiejo01,2014,BRK,J. Gutiérrez
1251,Jordan Hamilton,hamiljo02,2014,DEN,J. Hamilton
1252,Jordan Hamilton,hamiljo02,2014,HOU,J. Hamilton
1253,Justin Hamilton,hamilju01,2014,CHO,J. Hamilton
1254,Justin Hamilton,hamilju01,2014,MIA,J. Hamilton
1255,Tyler Hansbrough,hansbty01,2014,TOR,T. Hansbrough
1256,Tim Hardaway,hardati02,2014,NYK,T. Hardaway
1257,James Harden,hardeja01,2014,HOU,J. Harden
1258,Maurice Harkless,harklma01,2014,ORL,M. Harkless
1259,Josh Harrellson,harrejo01,2014,DET,J. Harrellson
1260,Al Harrington,harrial01,2014,WAS,A. Harrington
1261,Devin Harris,harride01,2014,DAL,D. Harris
1262,Elias Harris,harriel01,2014,LAL,E. Harris
1263,Manny Harris,harrima01,2014,LAL,M. Harris
1264,Mike Harris,harrimi01,2014,UTA,M. Harris
1265,Tobias Harris,harrito02,2014,ORL,T. Harris
1266,Udonis Haslem,hasleud01,2014,MIA,U. Haslem
1267,Spencer Hawes,hawessp01,2014,PHI,S. Hawes
1268,Spencer Hawes,hawessp01,2014,CLE,S. Hawes
1269,Chuck Hayes,hayesch01,2014,SAC,C. Hayes
1270,Chuck Hayes,hayesch01,2014,TOR,C. Hayes
1271,Gordon Hayward,haywago01,2014,UTA,G. Hayward
1272,Gerald Henderson,hendege02,2014,CHO,G. Henderson
1273,Xavier Henry,henryxa01,2014,LAL,X. Henry
1274,John Henson,hensojo01,2014,MIL,J. Henson
1275,Roy Hibbert,hibbero01,2014,IND,R. Hibbert
1276,J.J. Hickson,hicksjj01,2014,DEN,J. Hickson
1277,Nenê Hilário,hilarne01,2014,WAS,N. Hilário
1278,George Hill,hillge01,2014,IND,G. Hill
1279,Jordan Hill,hilljo01,2014,LAL,J. Hill
1280,Solomon Hill,hillso01,2014,IND,S. Hill
1281,Kirk Hinrich,hinriki01,2014,CHI,K. Hinrich
1282,Jrue Holiday,holidjr01,2014,NOP,J. Holiday
1283,Ryan Hollins,holliry01,2014,LAC,R. Hollins
1284,Scotty Hopson,hopsosc01,2014,CLE,S. Hopson
1285,Al Horford,horfoal01,2014,ATL,A. Horford
1286,Dwight Howard,howardw01,2014,HOU,D. Howard
1287,Robbie Hummel,hummero01,2014,MIN,R. Hummel
1288,Kris Humphries,humphkr01,2014,BOS,K. Humphries
1289,Serge Ibaka,ibakase01,2014,OKC,S. Ibaka
1290,Andre Iguodala,iguodan01,2014,GSW,A. Iguodala
1291,Ersan İlyasova,ilyaser01,2014,MIL,E. İlyasova
1292,Kyrie Irving,irvinky01,2014,CLE,K. Irving
1293,Royal Ivey,iveyro01,2014,OKC,R. Ivey
1294,Jarrett Jack,jackja01,2014,CLE,J. Jack
1295,Reggie Jackson,jacksre01,2014,OKC,R. Jackson
1296,Stephen Jackson,jacksst02,2014,LAC,S. Jackson
1297,Bernard James,jamesbe01,2014,DAL,B. James
1298,Damion James,jamesda01,2014,SAS,D. James
1299,LeBron James,jamesle01,2014,MIA,L. James
1300,Mike James,jamesmi01,2014,CHI,M. James
1301,Antawn Jamison,jamisan01,2014,LAC,A. Jamison
1302,Othyus Jeffers,jeffeot01,2014,SAS,O. Jeffers
1303,Othyus Jeffers,jeffeot01,2014,MIN,O. Jeffers
1304,Al Jefferson,jeffeal01,2014,CHO,A. Jefferson
1305,Richard Jefferson,jefferi01,2014,UTA,R. Jefferson
1306,John Jenkins,jenkijo01,2014,ATL,J. Jenkins
1307,Brandon Jennings,jennibr01,2014,DET,B. Jennings
1308,Jonas Jerebko,jerebjo01,2014,DET,J. Jerebko
1309,Amir Johnson,johnsam01,2014,TOR,A. Johnson
1310,Chris Johnson,johnsch04,2014,BOS,C. Johnson
1311,James Johnson,johnsja01,2014,MEM,J. Johnson
1312,Joe Johnson,johnsjo02,2014,BRK,J. Johnson
1313,Orlando Johnson,johnsor01,2014,IND,O. Johnson
1314,Orlando Johnson,johnsor01,2014,SAC,O. Johnson
1315,Wesley Johnson,johnswe01,2014,LAL,W. Johnson
1316,Darius Johnson-Odom,johnsda03,2014,PHI,D. Johnson-Odom
1317,James Jones,jonesja02,2014,MIA,J. Jones
1318,Perry Jones,jonespe01,2014,OKC,P. Jones
1319,Solomon Jones,jonesso01,2014,ORL,S. Jones
1320,Terrence Jones,joneste01,2014,HOU,T. Jones
1321,DeAndre Jordan,jordade01,2014,LAC,D. Jordan
1322,Cory Joseph,josepco01,2014,SAS,C. Joseph
1323,Chris Kaman,kamanch01,2014,LAL,C. Kaman
1324,Enes Kanter,kanteen01,2014,UTA,E. Kanter
1325,Sergey Karasev,karasse01,2014,CLE,S. Karasev
1326,Ryan Kelly,kellyry01,2014,LAL,R. Kelly
1327,Michael Kidd-Gilchrist,kiddgmi01,2014,CHO,M. Kidd-Gilchrist
1328,Andrei Kirilenko,kirilan01,2014,BRK,A. Kirilenko
1329,Brandon Knight,knighbr03,2014,MIL,B. Knight
1330,Kyle Korver,korveky01,2014,ATL,K. Korver
1331,Kosta Koufos,koufoko01,2014,MEM,K. Koufos
1332,Viacheslav Kravtsov,kravtvi01,2014,PHO,V. Kravtsov
1333,Ognjen Kuzmić,kuzmiog01,2014,GSW,O. Kuzmić
1334,Doron Lamb,lambdo01,2014,ORL,D. Lamb
1335,Jeremy Lamb,lambje01,2014,OKC,J. Lamb
1336,Carl Landry,landrca01,2014,SAC,C. Landry
1337,Shane Larkin,larkish01,2014,DAL,S. Larkin
1338,Ty Lawson,lawsoty01,2014,DEN,T. Lawson
1339,Ricky Ledo,ledori01,2014,DAL,R. Ledo
1340,Courtney Lee,leeco01,2014,BOS,C. Lee
1341,Courtney Lee,leeco01,2014,MEM,C. Lee
1342,David Lee,leeda02,2014,GSW,D. Lee
1343,Alex Len,lenal01,2014,PHO,A. Len
1344,Kawhi Leonard,leonaka01,2014,SAS,K. Leonard
1345,Meyers Leonard,leoname01,2014,POR,M. Leonard
1346,Jon Leuer,leuerjo01,2014,MEM,J. Leuer
1347,Rashard Lewis,lewisra02,2014,MIA,R. Lewis
1348,DeAndre Liggins,liggide01,2014,MIA,D. Liggins
1349,Damian Lillard,lillada01,2014,POR,D. Lillard
1350,Jeremy Lin,linje01,2014,HOU,J. Lin
1351,Shaun Livingston,livinsh01,2014,BRK,S. Livingston
1352,Brook Lopez,lopezbr01,2014,BRK,B. Lopez
1353,Robin Lopez,lopezro01,2014,POR,R. Lopez
1354,Kevin Love,loveke01,2014,MIN,K. Love
1355,Kyle Lowry,lowryky01,2014,TOR,K. Lowry
1356,John Lucas III,lucasjo02,2014,UTA,J. Lucas
1357,Shelvin Mack,macksh01,2014,ATL,S. Mack
1358,Ian Mahinmi,mahinia01,2014,IND,I. Mahinmi
1359,Shawn Marion,mariosh01,2014,DAL,S. Marion
1360,Kendall Marshall,marshke01,2014,LAL,K. Marshall
1361,Cartier Martin,martica01,2014,ATL,C. Martin
1362,Cartier Martin,martica01,2014,CHI,C. Martin
1363,Kenyon Martin,martike01,2014,NYK,K. Martin
1364,Kevin Martin,martike02,2014,MIN,K. Martin
1365,Roger Mason,masonro01,2014,MIA,R. Mason
1366,Wesley Matthews,matthwe02,2014,POR,W. Matthews
1367,Jason Maxiell,maxieja01,2014,ORL,J. Maxiell
1368,Eric Maynor,maynoer01,2014,WAS,E. Maynor
1369,Eric Maynor,maynoer01,2014,PHI,E. Maynor
1370,O.J. Mayo,mayooj01,2014,MIL,O. Mayo
1371,Luc Mbah a Moute,mbahalu01,2014,SAC,L. Mbah a Moute
1372,Luc Mbah a Moute,mbahalu01,2014,MIN,L. Mbah a Moute
1373,Ray McCallum,mccalra01,2014,SAC,R. McCallum
1374,CJ McCollum,mccolcj01,2014,POR,C. McCollum
1375,JaVale McGee,mcgeeja01,2014,DEN,J. McGee
1376,Ben McLemore,mclembe01,2014,SAC,B. McLemore
1377,Josh McRoberts,mcrobjo01,2014,CHO,J. McRoberts
1378,Jodie Meeks,meeksjo01,2014,LAL,J. Meeks
1379,Gal Mekel,mekelga01,2014,DAL,G. Mekel
1380,Khris Middleton,middlkh01,2014,MIL,K. Middleton
1381,C.J. Miles,milescj01,2014,CLE,C. Miles
1382,Andre Miller,millean02,2014,DEN,A. Miller
1383,Andre Miller,millean02,2014,WAS,A. Miller
1384,Darius Miller,milleda01,2014,NOP,D. Miller
1385,Mike Miller,millemi01,2014,MEM,M. Miller
1386,Quincy Miller,millequ01,2014,DEN,Q. Miller
1387,Patty Mills,millspa02,2014,SAS,P. Mills
1388,Paul Millsap,millspa01,2014,ATL,P. Millsap
1389,Tony Mitchell,mitchto02,2014,DET,T. Mitchell
1390,Tony Mitchell,mitchto03,2014,MIL,T. Mitchell
1391,Nazr Mohammed,mohamna01,2014,CHI,N. Mohammed
1392,Greg Monroe,monrogr01,2014,DET,G. Monroe
1393,E'Twaun Moore,mooreet01,2014,ORL,E. Moore
1394,Darius Morris,morrida01,2014,PHI,D. Morris
1395,Darius Morris,morrida01,2014,LAC,D. Morris
1396,Darius Morris,morrida01,2014,MEM,D. Morris
1397,Marcus Morris,morrima03,2014,PHO,M. Morris
1398,Markieff Morris,morrima02,2014,PHO,M. Morris
1399,Anthony Morrow,morroan01,2014,NOP,A. Morrow
1400,Donatas Motiejūnas,motiedo01,2014,HOU,D. Motiejūnas
1401,Arnett Moultrie,moultar01,2014,PHI,A. Moultrie
1402,Timofey Mozgov,mozgoti01,2014,DEN,T. Mozgov
1403,Shabazz Muhammad,muhamsh01,2014,MIN,S. Muhammad
1404,Byron Mullens,mulleby01,2014,LAC,B. Mullens
1405,Byron Mullens,mulleby01,2014,PHI,B. Mullens
1406,Erik Murphy,murpher01,2014,CHI,E. Murphy
1407,Toure' Murry,murryto01,2014,NYK,T. Murry
1408,Mike Muscala,muscami01,2014,ATL,M. Muscala
1409,Hamady N'Diaye,ndiayha01,2014,SAC,H. N'Diaye
1410,Steve Nash*,nashst01,2014,LAL,S. Nash*
1411,Gary Neal,nealga01,2014,MIL,G. Neal
1412,Gary Neal,nealga01,2014,CHO,G. Neal
1413,Nemanja Nedović,nedovne01,2014,GSW,N. Nedović
1414,Jameer Nelson,nelsoja01,2014,ORL,J. Nelson
1415,Andrew Nicholson,nichoan01,2014,ORL,A. Nicholson
1416,Joakim Noah,noahjo01,2014,CHI,J. Noah
1417,Steve Novak,novakst01,2014,TOR,S. Novak
1418,Dirk Nowitzki,nowitdi01,2014,DAL,D. Nowitzki
1419,James Nunnally,nunnaja01,2014,ATL,J. Nunnally
1420,James Nunnally,nunnaja01,2014,PHI,J. Nunnally
1421,Jermaine O'Neal,onealje01,2014,GSW,J. O'Neal
1422,Kyle O'Quinn,oquinky01,2014,ORL,K. O'Quinn
1423,Greg Oden,odengr01,2014,MIA,G. Oden
1424,Victor Oladipo,oladivi01,2014,ORL,V. Oladipo
1425,Kelly Olynyk,olynyke01,2014,BOS,K. Olynyk
1426,Arinze Onuaku,onuakar01,2014,NOP,A. Onuaku
1427,Arinze Onuaku,onuakar01,2014,CLE,A. Onuaku
1428,Daniel Orton,ortonda01,2014,PHI,D. Orton
1429,Travis Outlaw,outlatr01,2014,SAC,T. Outlaw
1430,Zaza Pachulia,pachuza01,2014,MIL,Z. Pachulia
1431,Jannero Pargo,pargoja01,2014,CHO,J. Pargo
1432,Tony Parker,parketo01,2014,SAS,T. Parker
1433,Chandler Parsons,parsoch01,2014,HOU,C. Parsons
1434,Patrick Patterson,pattepa01,2014,SAC,P. Patterson
1435,Patrick Patterson,pattepa01,2014,TOR,P. Patterson
1436,Chris Paul,paulch01,2014,LAC,C. Paul
1437,Nikola Peković,pekovni01,2014,MIN,N. Peković
1438,Kendrick Perkins,perkike01,2014,OKC,K. Perkins
1439,Paul Pierce,piercpa01,2014,BRK,P. Pierce
1440,Dexter Pittman,pittmde01,2014,ATL,D. Pittman
1441,Mason Plumlee,plumlma01,2014,BRK,M. Plumlee
1442,Miles Plumlee,plumlmi01,2014,PHO,M. Plumlee
1443,Quincy Pondexter,pondequ01,2014,MEM,Q. Pondexter
1444,Otto Porter,porteot01,2014,WAS,O. Porter
1445,Josh Powell,poweljo01,2014,HOU,J. Powell
1446,Phil Pressey,pressph01,2014,BOS,P. Pressey
1447,A.J. Price,priceaj01,2014,MIN,A. Price
1448,Ronnie Price,pricero01,2014,ORL,R. Price
1449,Pablo Prigioni,prigipa01,2014,NYK,P. Prigioni
1450,Tayshaun Prince,princta01,2014,MEM,T. Prince
1451,Miroslav Raduljica,radulmi01,2014,MIL,M. Raduljica
1452,Anthony Randolph,randoan01,2014,DEN,A. Randolph
1453,Shavlik Randolph,randosh01,2014,PHO,S. Randolph
1454,Zach Randolph,randoza01,2014,MEM,Z. Randolph
1455,J.J. Redick,redicjj01,2014,LAC,J. Redick
1456,Glen Rice,ricegl02,2014,WAS,G. Rice
1457,Luke Ridnour,ridnolu01,2014,MIL,L. Ridnour
1458,Luke Ridnour,ridnolu01,2014,CHO,L. Ridnour
1459,Austin Rivers,riverau01,2014,NOP,A. Rivers
1460,Andre Roberson,roberan03,2014,OKC,A. Roberson
1461,Brian Roberts,roberbr01,2014,NOP,B. Roberts
1462,Nate Robinson,robinna01,2014,DEN,N. Robinson
1463,Thomas Robinson,robinth01,2014,POR,T. Robinson
1464,Rajon Rondo,rondora01,2014,BOS,R. Rondo
1465,Derrick Rose,rosede01,2014,CHI,D. Rose
1466,Terrence Ross,rosste01,2014,TOR,T. Ross
1467,Ricky Rubio,rubiori01,2014,MIN,R. Rubio
1468,Brandon Rush,rushbr01,2014,UTA,B. Rush
1469,Robert Sacre,sacrero01,2014,LAL,R. Sacre
1470,John Salmons,salmojo01,2014,SAC,J. Salmons
1471,John Salmons,salmojo01,2014,TOR,J. Salmons
1472,Larry Sanders,sandela01,2014,MIL,L. Sanders
1473,Dennis Schröder,schrode01,2014,ATL,D. Schröder
1474,Luis Scola,scolalu01,2014,IND,L. Scola
1475,Mike Scott,scottmi01,2014,ATL,M. Scott
1476,Thabo Sefolosha,sefolth01,2014,OKC,T. Sefolosha
1477,Kevin Séraphin,serapke01,2014,WAS,K. Séraphin
1478,Ramon Sessions,sessira01,2014,CHO,R. Sessions
1479,Ramon Sessions,sessira01,2014,MIL,R. Sessions
1480,Mustafa Shakur,shakumu01,2014,OKC,M. Shakur
1481,Tornike Shengelia,shengto01,2014,BRK,T. Shengelia
1482,Tornike Shengelia,shengto01,2014,CHI,T. Shengelia
1483,Iman Shumpert,shumpim01,2014,NYK,I. Shumpert
1484,Alexey Shved,shvedal01,2014,MIN,A. Shved
1485,Henry Sims,simshe01,2014,CLE,H. Sims
1486,Henry Sims,simshe01,2014,PHI,H. Sims
1487,Kyle Singler,singlky01,2014,DET,K. Singler
1488,Chris Singleton,singlch01,2014,WAS,C. Singleton
1489,Peyton Siva,sivape01,2014,DET,P. Siva
1490,Donald Sloan,sloando01,2014,IND,D. Sloan
1491,Chris Smith,smithch05,2014,NYK,C. Smith
1492,Greg Smith,smithgr02,2014,HOU,G. Smith
1493,Ish Smith,smithis01,2014,PHO,I. Smith
1494,J.R. Smith,smithjr01,2014,NYK,J. Smith
1495,Jason Smith,smithja02,2014,NOP,J. Smith
1496,Josh Smith,smithjo03,2014,DET,J. Smith
1497,Tony Snell,snellto01,2014,CHI,T. Snell
1498,James Southerland,southja01,2014,CHO,J. Southerland
1499,James Southerland,southja01,2014,NOP,J. Southerland
1500,Marreese Speights,speigma01,2014,GSW,M. Speights
1501,Tiago Splitter,splitti01,2014,SAS,T. Splitter
1502,D.J. Stephens,stephdj01,2014,MIL,D. Stephens
1503,Lance Stephenson,stephla01,2014,IND,L. Stephenson
1504,Greg Stiemsma,stiemgr01,2014,NOP,G. Stiemsma
1505,Julyan Stone,stoneju01,2014,TOR,J. Stone
1506,Amar'e Stoudemire,stoudam01,2014,NYK,A. Stoudemire
1507,Rodney Stuckey,stuckro01,2014,DET,R. Stuckey
1508,Jared Sullinger,sullija01,2014,BOS,J. Sullinger
1509,Jeffery Taylor,tayloje03,2014,CHO,J. Taylor
1510,Tyshawn Taylor,tayloty01,2014,BRK,T. Taylor
1511,Jeff Teague,teaguje01,2014,ATL,J. Teague
1512,Marquis Teague,teaguma01,2014,CHI,M. Teague
1513,Marquis Teague,teaguma01,2014,BRK,M. Teague
1514,Mirza Teletović,teletmi01,2014,BRK,M. Teletović
1515,Garrett Temple,templga01,2014,WAS,G. Temple
1516,Jason Terry,terryja01,2014,BRK,J. Terry
1517,Hasheem Thabeet,thabeha01,2014,OKC,H. Thabeet
1518,Adonis Thomas,thomaad01,2014,ORL,A. Thomas
1519,Adonis Thomas,thomaad01,2014,PHI,A. Thomas
1520,Isaiah Thomas,thomais02,2014,SAC,I. Thomas
1521,Lance Thomas,thomala01,2014,NOP,L. Thomas
1522,Malcolm Thomas,thomama01,2014,SAS,M. Thomas
1523,Malcolm Thomas,thomama01,2014,UTA,M. Thomas
1524,Hollis Thompson,thompho01,2014,PHI,H. Thompson
1525,Jason Thompson,thompja02,2014,SAC,J. Thompson
1526,Klay Thompson,thompkl01,2014,GSW,K. Thompson
1527,Tristan Thompson,thomptr01,2014,CLE,T. Thompson
1528,Marcus Thornton,thornma01,2014,SAC,M. Thornton
1529,Marcus Thornton,thornma01,2014,BRK,M. Thornton
1530,Jamaal Tinsley,tinslja01,2014,UTA,J. Tinsley
1531,Anthony Tolliver,tollian01,2014,CHO,A. Tolliver
1532,P.J. Tucker,tuckepj01,2014,PHO,P. Tucker
1533,Ronny Turiaf,turiaro01,2014,MIN,R. Turiaf
1534,Hedo Türkoğlu,turkohe01,2014,LAC,H. Türkoğlu
1535,Evan Turner,turneev01,2014,PHI,E. Turner
1536,Evan Turner,turneev01,2014,IND,E. Turner
1537,Jeremy Tyler,tylerje01,2014,NYK,J. Tyler
1538,Ekpe Udoh,udohek01,2014,MIL,E. Udoh
1539,Beno Udrih,udrihbe01,2014,NYK,B. Udrih
1540,Beno Udrih,udrihbe01,2014,MEM,B. Udrih
1541,Jonas Valančiūnas,valanjo01,2014,TOR,J. Valančiūnas
1542,Anderson Varejão,varejan01,2014,CLE,A. Varejão
1543,Jarvis Varnado,varnaja01,2014,CHI,J. Varnado
1544,Jarvis Varnado,varnaja01,2014,PHI,J. Varnado
1545,Greivis Vásquez,vasqugr01,2014,SAC,G. Vásquez
1546,Greivis Vásquez,vasqugr01,2014,TOR,G. Vásquez
1547,Jan Veselý,veselja01,2014,WAS,J. Veselý
1548,Jan Veselý,veselja01,2014,DEN,J. Veselý
1549,Charlie Villanueva,villach01,2014,DET,C. Villanueva
1550,Nikola Vučević,vucevni01,2014,ORL,N. Vučević
1551,Sasha Vujačić,vujacsa01,2014,LAC,S. Vujačić
1552,Dwyane Wade,wadedw01,2014,MIA,D. Wade
1553,Dion Waiters,waitedi01,2014,CLE,D. Waiters
1554,Kemba Walker,walkeke02,2014,CHO,K. Walker
1555,John Wall,walljo01,2014,WAS,J. Wall
1556,Gerald Wallace,wallage01,2014,BOS,G. Wallace
1557,Casper Ware,wareca01,2014,PHI,C. Ware
1558,C.J. Watson,watsocj01,2014,IND,C. Watson
1559,Earl Watson,watsoea01,2014,POR,E. Watson
1560,Maalik Wayns,waynsma01,2014,LAC,M. Wayns
1561,Martell Webster,webstma02,2014,WAS,M. Webster
1562,David West,westda01,2014,IND,D. West
1563,Russell Westbrook,westbru01,2014,OKC,R. Westbrook
1564,D.J. White,whitedj01,2014,CHO,D. White
1565,Royce White,whitero03,2014,SAC,R. White
1566,Deron Williams,willide01,2014,BRK,D. Williams
1567,Derrick Williams,willide02,2014,MIN,D. Williams
1568,Derrick Williams,willide02,2014,SAC,D. Williams
1569,Elliot Williams,williel01,2014,PHI,E. Williams
1570,Lou Williams,willilo02,2014,ATL,L. Williams
1571,Marvin Williams,willima02,2014,UTA,M. Williams
1572,Mo Williams,willima01,2014,POR,M. Williams
1573,Reggie Williams,willire02,2014,OKC,R. Williams
1574,Shawne Williams,willish03,2014,LAL,S. Williams
1575,Jeff Withey,witheje01,2014,NOP,J. Withey
1576,Nate Wolters,woltena01,2014,MIL,N. Wolters
1577,Metta World Peace,artesro01,2014,NYK,M. World
1578,Brandan Wright,wrighbr03,2014,DAL,B. Wright
1579,Chris Wright,wrighch01,2014,MIL,C. Wright
1580,Dorell Wright,wrighdo01,2014,POR,D. Wright
1581,Tony Wroten,wroteto01,2014,PHI,T. Wroten
1582,Nick Young,youngni01,2014,LAL,N. Young
1583,Thaddeus Young,youngth01,2014,PHI,T. Young
1584,Cody Zeller,zelleco01,2014,CHO,C. Zeller
1585,Tyler Zeller,zellety01,2014,CLE,T. Zeller
1586,Quincy Acy,acyqu01,2015,NYK,Q. Acy
1587,Jordan Adams,adamsjo01,2015,MEM,J. Adams
1588,Steven Adams,adamsst01,2015,OKC,S. Adams
1589,Jeff Adrien,adrieje01,2015,MIN,J. Adrien
1590,Arron Afflalo,afflaar01,2015,DEN,A. Afflalo
1591,Arron Afflalo,afflaar01,2015,POR,A. Afflalo
1592,Alexis Ajinça,ajincal01,2015,NOP,A. Ajinça
1593,Furkan Aldemir,aldemfu01,2015,PHI,F. Aldemir
1594,Cole Aldrich,aldrico01,2015,NYK,C. Aldrich
1595,LaMarcus Aldridge,aldrila01,2015,POR,L. Aldridge
1596,Lavoy Allen,allenla01,2015,IND,L. Allen
1597,Tony Allen,allento01,2015,MEM,T. Allen
1598,Al-Farouq Aminu,aminual01,2015,DAL,A. Aminu
1599,Lou Amundson,amundlo01,2015,CLE,L. Amundson
1600,Lou Amundson,amundlo01,2015,NYK,L. Amundson
1601,Chris Andersen,anderch01,2015,MIA,C. Andersen
1602,Alan Anderson,anderal01,2015,BRK,A. Anderson
1603,Kyle Anderson,anderky01,2015,SAS,K. Anderson
1604,Ryan Anderson,anderry01,2015,NOP,R. Anderson
1605,Giannis Antetokounmpo,antetgi01,2015,MIL,G. Antetokounmpo
1606,Carmelo Anthony,anthoca01,2015,NYK,C. Anthony
1607,Joel Anthony,anthojo01,2015,DET,J. Anthony
1608,Pero Antić,anticpe01,2015,ATL,P. Antić
1609,Trevor Ariza,arizatr01,2015,HOU,T. Ariza
1610,Darrell Arthur,arthuda01,2015,DEN,D. Arthur
1611,Ömer Aşık,asikom01,2015,NOP,Ö. Aşık
1612,D.J. Augustin,augusdj01,2015,DET,D. Augustin
1613,D.J. Augustin,augusdj01,2015,OKC,D. Augustin
1614,Jeff Ayres,pendeje02,2015,SAS,J. Ayres
1615,Luke Babbitt,babbilu01,2015,NOP,L. Babbitt
1616,Cameron Bairstow,bairsca01,2015,CHI,C. Bairstow
1617,Leandro Barbosa,barbole01,2015,GSW,L. Barbosa
1618,J.J. Barea,bareajo01,2015,DAL,J. Barea
1619,Andrea Bargnani,bargnan01,2015,NYK,A. Bargnani
1620,Harrison Barnes,barneha02,2015,GSW,H. Barnes
1621,Matt Barnes,barnema02,2015,LAC,M. Barnes
1622,Earl Barron,barroea01,2015,PHO,E. Barron
1623,Will Barton,bartowi01,2015,POR,W. Barton
1624,Will Barton,bartowi01,2015,DEN,W. Barton
1625,Brandon Bass,bassbr01,2015,BOS,B. Bass
1626,Nicolas Batum,batumni01,2015,POR,N. Batum
1627,Jerryd Bayless,bayleje01,2015,MIL,J. Bayless
1628,Aron Baynes,baynear01,2015,SAS,A. Baynes
1629,Kent Bazemore,bazemke01,2015,ATL,K. Bazemore
1630,Bradley Beal,bealbr01,2015,WAS,B. Beal
1631,Michael Beasley,beaslmi01,2015,MIA,M. Beasley
1632,Marco Belinelli,belinma01,2015,SAS,M. Belinelli
1633,Jerrelle Benimon,benimje01,2015,UTA,J. Benimon
1634,Anthony Bennett,bennean01,2015,MIN,A. Bennett
1635,Patrick Beverley,beverpa01,2015,HOU,P. Beverley
1636,Sim Bhullar,bhullsi01,2015,SAC,S. Bhullar
1637,Bismack Biyombo,biyombi01,2015,CHO,B. Biyombo
