,name,slug,year,Team,Lineup_name
107,Erick Dampier,dampier01,2012,ATL,E. Dampier
108,Marquis Daniels,daniema01,2012,BOS,M. Daniels
109,Baron Davis,davisba01,2012,NYK,B. Davis
110,Ed Davis,davised01,2012,TOR,E. Davis
111,Glen Davis,davisgl01,2012,ORL,G. Davis
112,Josh Davis,davisjo02,2012,MEM,J. Davis
113,Eric Dawson,dawsoer01,2012,SAS,E. Dawson
114,Austin Daye,dayeau01,2012,DET,A. Daye
115,Carlos Delfino,delfica01,2012,MIL,C. Delfino
116,Luol Deng,denglu01,2012,CHI,L. Deng
117,Justin Dentmon,dentmju01,2012,SAS,J. Dentmon
118,Justin Dentmon,dentmju01,2012,TOR,J. Dentmon
119,DeMar DeRozan,derozde01,2012,TOR,D. DeRozan
120,Boris Diaw,diawbo01,2012,CHO,B. Diaw
121,Boris Diaw,diawbo01,2012,SAS,B. Diaw
122,Ike Diogu,dioguik01,2012,SAS,I. Diogu
123,DeSagana Diop,diopde01,2012,CHO,D. Diop
124,Keyon Dooling,doolike01,2012,BOS,K. Dooling
125,Toney Douglas,douglto01,2012,NYK,T. Douglas
126,Goran Dragić,dragigo01,2012,HOU,G. Dragić
127,Jared Dudley,dudleja01,2012,PHO,J. Dudley
128,Chris Duhon,duhonch01,2012,ORL,C. Duhon
129,Tim Duncan,duncati01,2012,SAS,T. Duncan
130,Mike Dunleavy,dunlemi02,2012,MIL,M. Dunleavy
131,Kevin Durant,duranke01,2012,OKC,K. Durant
132,Jerome Dyson,dysonje01,2012,NOP,J. Dyson
133,Devin Ebanks,ebankde01,2012,LAL,D. Ebanks
134,Wayne Ellington,ellinwa01,2012,MIN,W. Ellington
135,Monta Ellis,ellismo01,2012,GSW,M. Ellis
136,Monta Ellis,ellismo01,2012,MIL,M. Ellis
137,Francisco Elson,elsonfr01,2012,PHI,F. Elson
138,Andre Emmett,emmetan01,2012,BRK,A. Emmett
139,Semih Erden,erdense01,2012,CLE,S. Erden
140,Jeremy Evans,evansje01,2012,UTA,J. Evans
141,Maurice Evans,evansma01,2012,WAS,M. Evans
142,Reggie Evans,evansre01,2012,LAC,R. Evans
143,Tyreke Evans,evansty01,2012,SAC,T. Evans
144,Christian Eyenga,eyengch01,2012,CLE,C. Eyenga
145,Christian Eyenga,eyengch01,2012,LAL,C. Eyenga
146,Kenneth Faried,farieke01,2012,DEN,K. Faried
147,Jordan Farmar,farmajo01,2012,BRK,J. Farmar
148,Derrick Favors,favorde01,2012,UTA,D. Favors
149,Raymond Felton,feltora01,2012,POR,R. Felton
150,Rudy Fernández,fernaru01,2012,DEN,R. Fernández
151,Kyrylo Fesenko,fesenky01,2012,IND,K. Fesenko
152,Landry Fields,fieldla01,2012,NYK,L. Fields
153,Derek Fisher,fishede01,2012,LAL,D. Fisher
154,Derek Fisher,fishede01,2012,OKC,D. Fisher
155,Jonny Flynn,flynnjo01,2012,HOU,J. Flynn
156,Jonny Flynn,flynnjo01,2012,POR,J. Flynn
157,Jeff Foote,footeje01,2012,NOP,J. Foote
158,Gary Forbes,forbega01,2012,TOR,G. Forbes
159,T.J. Ford,fordtj01,2012,SAS,T. Ford
160,Courtney Fortson,fortsco01,2012,LAC,C. Fortson
161,Courtney Fortson,fortsco01,2012,HOU,C. Fortson
162,Jeff Foster,fosteje01,2012,IND,J. Foster
163,Randy Foye,foyera01,2012,LAC,R. Foye
164,Jimmer Fredette,fredeji01,2012,SAC,J. Fredette
165,Channing Frye,fryech01,2012,PHO,C. Frye
