,date,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points_scored,game_score,plus_minus
0,2016-10-25,Team.UTAH_JAZZ,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,500,2,4,0,1,1,1,1,1,0,0,0,0,2,5,3.2,-18
1,2016-10-28,Team.UTAH_JAZZ,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1291,1,2,0,1,2,2,0,0,2,0,0,1,0,4,3.4,-3
2,2016-10-30,Team.UTAH_JAZZ,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,1539,3,6,0,1,4,4,0,2,2,1,0,0,2,10,9.2,-5
3,2016-11-01,Team.UTAH_JAZZ,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.WIN,832,1,2,0,1,2,3,0,3,2,0,4,3,2,4,3.9,11
4,2016-11-02,Team.UTAH_JAZZ,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,1184,4,6,2,2,0,0,1,1,0,0,0,1,3,10,6.2,-13
5,2016-11-04,Team.UTAH_JAZZ,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,1715,3,9,1,3,0,0,1,6,2,0,0,1,1,7,4.4,-19
6,2016-11-06,Team.UTAH_JAZZ,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.WIN,641,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0.7,-5
7,2016-11-07,Team.UTAH_JAZZ,Location.AWAY,Team.PHILADELPHIA_76ERS,Outcome.WIN,1170,4,6,3,4,0,0,1,1,0,0,1,0,4,11,8.5,15
8,2016-11-09,Team.UTAH_JAZZ,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.LOSS,1414,2,4,1,3,1,2,0,1,5,0,0,1,3,6,5.2,-12
9,2016-11-11,Team.UTAH_JAZZ,Location.AWAY,Team.ORLANDO_MAGIC,Outcome.WIN,1348,2,8,0,4,0,0,1,3,2,0,0,3,5,4,-2.8,3
10,2016-11-12,Team.UTAH_JAZZ,Location.AWAY,Team.MIAMI_HEAT,Outcome.WIN,1733,3,10,2,4,2,2,1,2,2,1,0,1,0,10,6.9,7
11,2016-11-14,Team.UTAH_JAZZ,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,1828,4,9,0,3,1,2,1,2,2,0,0,1,4,9,4.0,2
