,date,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points_scored,game_score,plus_minus
0,2016-10-25,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.UTAH_JAZZ,Outcome.WIN,1341,0,2,0,1,0,0,0,1,1,2,0,2,1,0,-0.8,-13
1,2016-10-27,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,1938,10,15,1,3,2,2,5,3,2,0,0,0,4,23,20.7,9
2,2016-10-29,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.DENVER_NUGGETS,Outcome.WIN,1932,2,6,2,3,1,2,0,3,0,0,0,1,6,7,0.7,7
3,2016-11-01,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1567,3,11,0,3,0,0,1,1,0,0,2,0,1,6,1.5,-6
4,2016-11-02,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.PHOENIX_SUNS,Outcome.LOSS,2077,5,10,2,4,1,1,2,3,2,1,1,2,2,13,10.6,-8
5,2016-11-04,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.WIN,1940,4,8,1,3,0,0,0,1,3,1,0,0,0,9,8.4,20
6,2016-11-06,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2062,8,15,2,5,0,0,2,5,0,1,2,2,4,18,12.4,17
7,2016-11-08,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.PHOENIX_SUNS,Outcome.WIN,2009,8,11,2,5,2,2,1,5,1,1,1,3,3,20,15.9,15
8,2016-11-09,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,1298,3,5,2,4,0,0,0,4,1,0,1,1,2,8,6.5,-29
9,2016-11-11,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,2154,3,9,2,4,0,0,3,5,1,0,1,0,2,8,7.1,4
10,2016-11-13,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.DENVER_NUGGETS,Outcome.WIN,1950,6,11,2,4,3,4,1,5,0,0,2,0,2,17,14.1,17
11,2016-11-15,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.CHICAGO_BULLS,Outcome.LOSS,1714,2,9,1,4,0,0,3,5,1,3,1,0,4,5,5.9,-26
12,2016-11-17,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.HOUSTON_ROCKETS,Outcome.LOSS,1880,8,12,3,4,0,0,2,4,0,0,0,1,1,19,15.0,-23
13,2016-11-18,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,2111,4,13,2,7,0,0,2,4,1,0,0,2,1,10,3.4,-12
14,2016-11-20,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,1314,5,7,0,2,0,0,2,2,0,0,0,2,2,10,6.3,9
15,2016-11-22,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.LOSS,2059,6,13,1,3,2,4,1,7,0,1,1,3,3,15,7.8,4
16,2016-11-23,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,2026,4,10,1,5,2,2,3,4,2,3,1,0,5,11,12.0,-18
17,2016-11-25,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1752,8,13,1,3,2,4,5,6,1,1,0,4,3,19,14.1,14
18,2016-11-27,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.LOSS,2294,7,12,2,4,2,2,1,2,0,2,1,0,5,18,14.4,-9
19,2016-11-30,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,1749,9,14,3,6,2,2,2,0,0,2,0,0,3,23,19.0,14
20,2016-12-03,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,1973,6,12,1,3,4,4,2,5,1,1,1,1,2,17,14.5,-7
21,2016-12-05,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.CHICAGO_BULLS,Outcome.WIN,1881,4,11,1,4,2,3,4,5,2,1,1,2,4,11,8.3,0
22,2016-12-07,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.LOSS,1901,5,13,1,5,0,0,4,0,4,4,0,4,4,11,7.9,3
23,2016-12-10,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.INDIANA_PACERS,Outcome.LOSS,1832,3,7,1,4,0,0,1,0,0,1,0,1,2,7,3.2,-1
24,2016-12-12,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,1944,3,7,0,1,0,0,3,3,0,1,0,1,2,6,4.5,5
25,2016-12-13,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,1495,5,10,1,3,4,4,0,4,0,5,1,1,2,15,15.1,11
26,2016-12-15,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.DENVER_NUGGETS,Outcome.LOSS,2171,3,7,1,3,2,2,1,2,1,1,1,2,5,9,5.0,-8
27,2016-12-17,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1807,7,15,3,7,0,0,0,2,0,2,2,1,3,17,11.1,-29
28,2016-12-20,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.LOSS,1453,5,9,0,1,1,3,5,5,0,1,1,0,6,11,10.2,-1
29,2016-12-21,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.LOSS,1786,3,9,0,4,2,2,2,6,1,1,1,1,6,8,5.1,-7
30,2016-12-23,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,2057,4,8,0,2,0,4,1,1,1,1,1,1,4,8,3.2,-14
31,2016-12-26,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.LOSS,1984,5,9,0,1,0,2,0,5,1,2,2,4,4,10,4.9,-2
32,2016-12-28,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,1984,5,7,2,3,0,0,0,4,1,1,0,2,3,12,8.8,10
33,2016-12-30,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,1679,5,8,2,3,0,0,1,0,0,3,1,2,5,12,8.8,1
34,2017-01-01,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,1957,3,7,0,2,2,3,1,4,1,2,2,0,2,8,9.1,10
35,2017-01-04,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1805,4,9,2,3,0,0,3,4,1,1,1,2,5,10,7.0,-11
36,2017-01-05,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1761,4,6,1,2,0,0,0,6,2,1,3,3,2,9,8.9,12
37,2017-01-08,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,1539,1,4,1,3,2,4,0,2,1,0,1,1,0,5,2.8,-4
38,2017-01-10,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1922,5,6,1,2,3,4,0,5,1,1,3,2,3,14,13.5,25
39,2017-01-11,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.WIN,1889,5,10,1,2,2,2,3,2,3,0,0,0,4,13,11.2,24
40,2017-01-16,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.LOSS,1116,0,5,0,3,0,0,0,1,1,1,1,1,3,0,-3.0,-31
41,2017-01-18,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.LOSS,1627,4,10,1,4,0,0,0,1,3,1,1,1,1,9,6.3,-6
42,2017-01-20,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.PHILADELPHIA_76ERS,Outcome.LOSS,1144,1,5,0,1,1,2,3,1,0,1,2,0,0,3,4.3,11
43,2017-01-21,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,769,0,2,0,1,0,0,0,0,1,0,0,0,0,0,-0.7,-5
44,2017-01-29,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1257,5,9,0,2,0,0,1,1,2,2,0,1,3,10,7.9,-9
45,2017-01-31,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.CHARLOTTE_HORNETS,Outcome.WIN,1704,5,10,0,2,0,0,3,2,3,0,0,1,1,10,8.4,12
46,2017-02-03,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.LOSS,1194,1,5,0,2,0,0,1,1,0,0,1,1,1,2,-0.8,-6
47,2017-02-05,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,1347,3,6,0,1,0,0,1,2,1,2,0,0,0,6,7.0,6
48,2017-02-07,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.WIN,1307,2,9,1,2,3,6,5,2,0,0,1,1,1,8,4.7,2
49,2017-02-09,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.BOSTON_CELTICS,Outcome.LOSS,1401,2,5,0,1,0,0,0,4,1,3,2,1,4,4,5.0,-6
50,2017-02-13,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.ATLANTA_HAWKS,Outcome.LOSS,1907,7,15,3,4,0,1,6,3,2,1,2,2,4,17,14.2,-14
51,2017-02-15,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,1508,3,5,1,1,1,1,0,4,2,2,0,0,2,8,9.5,-18
52,2017-02-23,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.ORLANDO_MAGIC,Outcome.WIN,2290,4,8,1,1,3,4,0,6,1,1,3,1,3,12,11.0,21
53,2017-02-26,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.LOSS,2156,7,9,2,3,2,4,2,3,0,2,1,1,4,18,16.1,-7
54,2017-02-28,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.LOSS,2222,4,8,0,1,0,2,3,7,2,0,1,2,6,8,5.1,3
55,2017-03-02,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,2062,2,7,1,3,5,8,2,7,0,1,0,0,5,10,7.2,10
