,date,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points_scored,game_score,plus_minus
0,2016-10-26,Team.INDIANA_PACERS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,654,3,6,0,0,1,1,1,5,0,0,1,1,1,7,5.5,-3
1,2016-10-28,Team.INDIANA_PACERS,Location.AWAY,Team.BROOKLYN_NETS,Outcome.LOSS,719,1,5,0,0,0,0,0,2,2,0,1,3,2,2,-2.2,-8
2,2016-10-29,Team.INDIANA_PACERS,Location.AWAY,Team.CHICAGO_BULLS,Outcome.LOSS,871,3,5,0,0,0,0,1,2,2,0,0,0,2,6,5.6,-10
3,2016-11-01,Team.INDIANA_PACERS,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.WIN,821,2,6,0,0,0,0,2,5,1,0,0,1,4,4,1.6,3
4,2016-11-03,Team.INDIANA_PACERS,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.LOSS,1143,1,8,0,1,3,4,3,4,0,0,1,0,2,5,2.6,-5
5,2016-11-05,Team.INDIANA_PACERS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,1043,2,7,0,0,0,0,1,5,4,0,2,0,1,4,5.9,9
6,2016-11-07,Team.INDIANA_PACERS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.LOSS,1164,6,12,0,0,0,1,4,6,1,1,0,0,2,12,11.1,-2
7,2016-11-09,Team.INDIANA_PACERS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,1221,9,12,0,0,0,0,2,5,0,2,0,1,2,18,16.3,9
8,2016-11-11,Team.INDIANA_PACERS,Location.AWAY,Team.PHILADELPHIA_76ERS,Outcome.LOSS,1348,4,9,0,0,2,3,0,3,2,0,0,1,4,10,4.6,-3
9,2016-11-12,Team.INDIANA_PACERS,Location.HOME,Team.BOSTON_CELTICS,Outcome.LOSS,1019,5,9,0,0,0,0,0,3,0,0,0,1,0,10,5.6,-6
10,2016-11-14,Team.INDIANA_PACERS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,300,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.1,-4
11,2016-11-16,Team.INDIANA_PACERS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.WIN,424,1,4,0,0,0,0,0,1,0,0,0,0,0,2,-0.1,0
12,2016-11-18,Team.INDIANA_PACERS,Location.HOME,Team.PHOENIX_SUNS,Outcome.LOSS,340,3,4,0,0,0,0,1,1,0,0,1,0,0,6,6.1,-3
13,2016-11-20,Team.INDIANA_PACERS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,869,1,5,0,0,0,0,3,2,1,0,0,2,4,2,-1.3,-14
14,2016-11-21,Team.INDIANA_PACERS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1253,2,4,0,0,0,0,0,6,2,0,0,0,5,4,3.2,-17
15,2016-11-23,Team.INDIANA_PACERS,Location.HOME,Team.ATLANTA_HAWKS,Outcome.LOSS,756,1,3,0,0,0,0,0,1,0,0,0,0,2,2,-0.2,-11
16,2016-11-25,Team.INDIANA_PACERS,Location.HOME,Team.BROOKLYN_NETS,Outcome.WIN,1129,8,14,0,0,0,0,1,2,1,0,0,1,3,16,9.2,7
17,2016-11-27,Team.INDIANA_PACERS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,1272,8,17,0,0,0,0,3,5,2,0,0,0,3,16,11.1,10
18,2016-11-30,Team.INDIANA_PACERS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,1271,5,8,0,0,3,4,0,1,1,0,0,0,1,13,9.6,-1
19,2016-12-04,Team.INDIANA_PACERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,1072,2,4,0,0,2,3,0,4,2,0,0,0,2,6,5.4,3
20,2016-12-05,Team.INDIANA_PACERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,475,2,6,0,0,0,0,2,1,0,0,0,0,1,4,1.9,-5
21,2016-12-07,Team.INDIANA_PACERS,Location.AWAY,Team.PHOENIX_SUNS,Outcome.WIN,1164,5,7,0,0,5,8,3,3,0,2,0,0,3,15,14.7,10
22,2016-12-09,Team.INDIANA_PACERS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.LOSS,1011,4,9,0,0,2,2,1,2,0,0,1,2,2,10,4.5,3
23,2016-12-10,Team.INDIANA_PACERS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,901,4,9,0,0,2,3,2,6,1,0,1,0,1,10,9.1,-3
24,2016-12-12,Team.INDIANA_PACERS,Location.HOME,Team.CHARLOTTE_HORNETS,Outcome.WIN,734,3,7,0,0,0,0,1,2,1,0,0,0,1,6,3.9,3
25,2016-12-14,Team.INDIANA_PACERS,Location.AWAY,Team.MIAMI_HEAT,Outcome.LOSS,648,2,5,0,0,1,2,1,1,0,1,0,0,1,5,3.5,-8
26,2016-12-15,Team.INDIANA_PACERS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,1077,6,13,0,0,2,2,2,3,0,0,1,0,2,14,9.5,0
27,2016-12-17,Team.INDIANA_PACERS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,1025,3,10,0,0,2,4,2,7,1,1,0,0,2,8,5.8,13
28,2016-12-19,Team.INDIANA_PACERS,Location.HOME,Team.WASHINGTON_WIZARDS,Outcome.WIN,886,5,10,0,0,0,0,0,2,0,0,1,0,3,10,5.1,-10
29,2016-12-20,Team.INDIANA_PACERS,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.LOSS,933,8,11,0,0,2,2,2,1,0,0,0,0,2,18,14.4,0
30,2016-12-22,Team.INDIANA_PACERS,Location.HOME,Team.BOSTON_CELTICS,Outcome.LOSS,884,2,4,0,0,0,0,2,5,0,0,0,0,2,4,4.1,1
31,2016-12-26,Team.INDIANA_PACERS,Location.AWAY,Team.CHICAGO_BULLS,Outcome.LOSS,1180,5,9,0,0,1,1,2,3,3,0,0,1,4,11,8.5,-1
32,2016-12-28,Team.INDIANA_PACERS,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.LOSS,841,2,3,0,0,1,3,1,6,0,1,0,1,2,5,4.6,-1
33,2016-12-30,Team.INDIANA_PACERS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,992,2,6,0,0,2,2,2,5,2,0,0,1,0,6,5.9,-2
34,2017-01-01,Team.INDIANA_PACERS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,831,5,9,0,0,2,2,0,3,1,0,1,1,2,12,8.2,9
35,2017-01-03,Team.INDIANA_PACERS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,749,2,7,0,0,2,2,0,2,3,0,0,0,0,6,4.6,7
36,2017-01-05,Team.INDIANA_PACERS,Location.HOME,Team.BROOKLYN_NETS,Outcome.WIN,836,2,5,0,0,0,0,0,2,0,0,0,0,2,4,1.1,-19
37,2017-01-07,Team.INDIANA_PACERS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,909,4,9,0,0,6,6,4,3,2,1,0,0,0,14,15.4,3
38,2017-01-12,Team.INDIANA_PACERS,Location.AWAY,Team.DENVER_NUGGETS,Outcome.LOSS,501,2,5,0,0,0,0,1,1,0,0,0,0,2,4,1.5,-6
39,2017-01-16,Team.INDIANA_PACERS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,576,5,7,0,0,0,0,1,0,0,2,0,2,2,10,7.0,-6
40,2017-01-18,Team.INDIANA_PACERS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,994,9,12,0,0,2,2,2,1,1,0,0,0,3,20,16.4,-2
41,2017-01-20,Team.INDIANA_PACERS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,1044,7,15,0,0,6,6,1,5,1,2,0,0,1,20,16.8,1
42,2017-01-21,Team.INDIANA_PACERS,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,821,3,4,0,0,1,1,0,4,0,1,1,1,3,7,6.1,-11
43,2017-01-23,Team.INDIANA_PACERS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.LOSS,1159,5,8,0,0,3,4,1,2,0,0,1,1,2,13,9.2,-6
44,2017-01-26,Team.INDIANA_PACERS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,708,4,6,0,0,0,0,1,5,1,0,0,2,0,8,6.3,-7
45,2017-01-27,Team.INDIANA_PACERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,731,4,9,0,0,1,1,0,1,1,0,0,2,2,9,2.5,-11
46,2017-01-29,Team.INDIANA_PACERS,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,582,4,5,0,0,0,0,0,0,1,1,0,0,4,8,6.2,-3
47,2017-02-01,Team.INDIANA_PACERS,Location.AWAY,Team.ORLANDO_MAGIC,Outcome.WIN,986,4,7,0,0,2,2,2,5,3,0,0,1,2,10,9.9,7
48,2017-02-03,Team.INDIANA_PACERS,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,920,4,9,0,0,3,4,2,3,0,0,0,0,2,11,7.4,-13
