,date,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points_scored,game_score,plus_minus
0,2014-10-29,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,1959,11,26,1,2,15,16,2,1,6,3,0,2,3,38,29.5,-4
1,2014-10-30,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,523,1,3,0,1,0,0,0,0,4,1,0,3,2,2,0.3,-3
2,2014-11-28,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,1428,12,17,3,4,5,7,4,3,8,1,0,3,2,32,30.6,24
3,2014-12-02,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,1982,6,20,1,4,8,9,1,5,7,2,0,7,3,21,9.9,-16
4,2014-12-05,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.PHILADELPHIA_76ERS,Outcome.WIN,1843,8,14,1,3,10,14,0,5,7,2,0,6,3,27,20.0,11
5,2014-12-07,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2080,9,19,1,3,3,6,1,10,7,0,0,4,1,22,15.3,-9
6,2014-12-09,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,1927,8,16,0,2,12,15,2,3,7,3,0,5,5,28,22.0,24
7,2014-12-11,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.WIN,2145,12,24,0,2,2,2,1,6,8,1,0,4,0,26,19.1,5
8,2014-12-12,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,2145,12,19,2,3,8,9,1,5,6,2,0,4,3,34,28.3,16
9,2014-12-14,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.PHOENIX_SUNS,Outcome.WIN,1591,7,18,1,4,13,13,4,4,8,2,0,3,2,28,26.0,17
10,2014-12-16,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,1910,11,20,1,3,9,12,3,3,7,4,0,1,4,32,30.5,23
11,2014-12-18,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2411,11,30,3,10,8,12,1,2,8,2,0,6,2,33,16.9,2
12,2014-12-19,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.WIN,2175,9,22,0,1,13,13,0,5,10,1,0,1,2,31,26.9,-1
13,2014-12-21,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,2090,10,27,0,6,9,11,4,1,8,3,0,6,2,29,18.2,5
14,2014-12-23,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,2316,16,34,1,5,7,9,5,5,6,3,0,2,6,40,29.6,-9
15,2014-12-25,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.WIN,2080,14,28,0,1,6,8,1,4,11,5,0,4,0,34,29.8,27
16,2014-12-26,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.CHARLOTTE_HORNETS,Outcome.WIN,1527,11,21,1,1,6,6,1,1,5,2,1,6,2,29,19.1,20
17,2014-12-28,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.LOSS,2182,6,23,0,1,6,9,3,6,9,5,0,5,5,18,11.3,-8
18,2014-12-31,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.PHOENIX_SUNS,Outcome.WIN,1036,5,13,1,2,9,10,2,2,4,1,0,1,1,20,16.9,2
19,2015-01-02,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.WASHINGTON_WIZARDS,Outcome.WIN,1798,8,23,0,3,6,7,0,3,6,2,0,2,5,22,11.8,-9
20,2015-01-05,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1767,5,21,1,5,11,14,4,3,5,1,0,2,2,22,13.5,-13
21,2015-01-07,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.LOSS,1647,3,19,0,5,4,5,3,4,4,1,0,7,4,10,-4.0,-23
22,2015-01-09,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.UTAH_JAZZ,Outcome.WIN,2250,9,17,1,1,6,6,1,3,12,3,0,3,3,25,25.5,22
23,2015-01-15,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.HOUSTON_ROCKETS,Outcome.LOSS,2267,6,13,1,3,3,4,3,5,8,5,0,8,5,16,13.1,-11
24,2015-01-16,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,2155,7,19,1,4,2,4,3,12,16,4,0,3,4,17,22.0,19
25,2015-01-18,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.ORLANDO_MAGIC,Outcome.WIN,1462,7,12,0,3,3,6,1,0,6,1,1,4,2,17,12.0,15
26,2015-01-20,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.MIAMI_HEAT,Outcome.WIN,2108,8,17,0,2,3,4,5,5,6,4,0,3,2,19,19.3,2
27,2015-01-21,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.WIN,2528,12,28,0,4,8,10,2,6,8,1,0,3,4,32,21.6,1
28,2015-01-23,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,2160,8,16,2,4,4,6,1,2,11,3,0,4,3,22,20.0,-6
29,2015-01-25,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,2371,7,26,3,6,5,7,4,5,11,2,1,2,3,22,17.3,3
30,2015-01-26,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,1842,7,22,0,3,4,6,1,3,5,1,0,4,2,18,5.9,0
31,2015-01-28,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.LOSS,2073,13,30,2,8,12,12,0,4,4,2,1,4,1,40,26.5,-15
