,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1773.0,10.0,19.0,0.0,1.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,3.0,5.0,10.3,,,,,,,
1,1409.0,2.0,5.0,1.6,4.2,0.8,0.8,0.4,5.2,1.6,0.4,0.6,1.4,3.2,4.8,,,,,,,
2,2039.5,6.25,20.25,2.25,7.25,4.0,4.75,1.25,4.0,3.5,0.25,0.5,3.25,3.0,7.45,,,,,,,
3,1810.0,5.25,10.75,1.75,4.5,1.0,1.25,0.25,1.75,2.0,0.0,1.0,1.25,2.5,8.274999999999999,,,,,,,
4,1608.0,4.0,7.5,0.5,2.75,3.75,4.5,0.5,3.25,0.75,1.0,0.25,2.0,3.25,8.025,,,,,,,
0,1941.0,2.5,8.5,1.5,6.0,3.0,3.0,0.0,3.0,2.5,1.5,0.0,3.5,2.5,4.199999999999999,,,,,,,
1,1885.6666666666667,5.0,11.333333333333334,1.3333333333333333,3.0,2.6666666666666665,2.6666666666666665,0.3333333333333333,2.3333333333333335,2.0,0.6666666666666666,0.3333333333333333,2.0,2.3333333333333335,8.366666666666667,,,,,,,
2,2043.2857142857142,3.142857142857143,10.428571428571429,2.0,6.857142857142857,0.8571428571428571,1.2857142857142858,0.5714285714285714,2.5714285714285716,2.857142857142857,1.4285714285714286,0.2857142857142857,1.8571428571428572,2.2857142857142856,4.957142857142856,,,,,,,
3,2005.6842105263158,4.842105263157895,10.0,0.3684210526315789,1.2105263157894737,2.1578947368421053,2.736842105263158,1.9473684210526316,5.368421052631579,1.4736842105263157,0.9473684210526315,2.1052631578947367,1.2105263157894737,3.263157894736842,10.826315789473684,,,,,,,
4,1885.05,5.65,10.55,0.25,0.9,0.65,1.2,3.55,3.85,1.75,1.5,0.4,1.05,1.85,11.709999999999999,,,,,,,
0,1499.1666666666667,2.8333333333333335,6.333333333333333,1.3333333333333333,3.1666666666666665,2.3333333333333335,2.8333333333333335,0.3333333333333333,2.0,5.333333333333333,1.0,0.0,1.3333333333333333,1.0,9.666666666666666,,,,,,,
1,1974.5714285714287,5.142857142857143,13.0,2.5714285714285716,6.571428571428571,3.4285714285714284,4.714285714285714,0.2857142857142857,2.2857142857142856,3.142857142857143,1.4285714285714286,0.42857142857142855,1.7142857142857142,3.142857142857143,10.571428571428571,,,,,,,
2,2089.2,8.2,18.2,1.8,6.2,1.2,2.0,2.2,5.8,1.8,1.2,0.2,2.6,3.2,11.620000000000001,,,,,,,
3,1399.5,2.5,7.0,0.5,2.5,0.5,1.0,0.5,4.5,1.0,0.5,0.5,0.5,2.5,3.65,,,,,,,
4,1723.0,8.25,13.5,0.5,1.25,0.75,1.0,1.75,8.25,3.5,1.25,2.0,1.5,1.5,18.2,,,,,,,
0,1876.2222222222222,4.777777777777778,10.222222222222221,1.4444444444444444,3.3333333333333335,0.8888888888888888,1.1111111111111112,1.2222222222222223,6.333333333333333,6.555555555555555,1.0,1.1111111111111112,1.8888888888888888,1.2222222222222223,13.3,,,,,,,
