,date,Team,Player1,Player2,Player3,Player4,Player5,game_id,Location,Outcome,spread
4965,2013-12-21,HOU,P. Beverley,F. García,D. Howard,T. Jones,C. Parsons,1708,AWAY,WIN,17.0
6051,2013-12-22,LAC,J. Crawford,J. Dudley,B. Griffin,D. Jordan,C. Paul,1719,HOME,WIN,4.0
8777,2013-12-22,MIN,C. Brewer,K. Love,K. Martin,N. Peković,R. Rubio,1719,AWAY,LOSS,4.0
13663,2013-12-22,TOR,D. DeRozan,A. Johnson,K. Lowry,T. Ross,J. Valančiūnas,1718,AWAY,WIN,6.0
9864,2013-12-22,OKC,K. Durant,S. Ibaka,K. Perkins,T. Sefolosha,R. Westbrook,1718,HOME,LOSS,6.0
624,2013-12-22,BOS,B. Bass,A. Bradley,J. Crawford,J. Green,J. Sullinger,1717,AWAY,LOSS,27.0
5506,2013-12-22,IND,P. George,R. Hibbert,G. Hill,L. Stephenson,D. West,1717,HOME,WIN,27.0
5507,2013-12-23,IND,P. George,R. Hibbert,G. Hill,L. Stephenson,D. West,1723,AWAY,WIN,17.0
9320,2013-12-23,NYK,C. Anthony,A. Bargnani,T. Chandler,R. Felton,I. Shumpert,1722,AWAY,WIN,5.0
4966,2013-12-23,HOU,F. García,D. Howard,T. Jones,J. Lin,C. Parsons,1725,HOME,LOSS,7.0
4423,2013-12-23,GSW,A. Bogut,S. Curry,A. Iguodala,D. Lee,K. Thompson,1728,AWAY,WIN,8.0
13664,2013-12-23,TOR,D. DeRozan,A. Johnson,K. Lowry,T. Ross,J. Valančiūnas,1727,AWAY,LOSS,13.0
3881,2013-12-23,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith,1721,AWAY,WIN,23.0
1165,2013-12-23,BRK,A. Anderson,K. Garnett,J. Johnson,M. Teletović,D. Williams,1723,HOME,LOSS,17.0
16797,2013-12-23,CHO,G. Henderson,A. Jefferson,J. McRoberts,A. Tolliver,K. Walker,1720,HOME,WIN,1.0
13123,2013-12-23,SAS,M. Belinelli,T. Duncan,K. Leonard,T. Parker,T. Splitter,1727,HOME,WIN,13.0
11492,2013-12-23,PHO,E. Bledsoe,G. Dragić,C. Frye,M. Plumlee,P. Tucker,1729,HOME,WIN,27.0
7684,2013-12-23,MIA,R. Allen,S. Battier,C. Bosh,M. Chalmers,L. James,1724,HOME,WIN,2.0
12581,2013-12-23,SAC,D. Cousins,R. Gay,B. McLemore,I. Thomas,J. Thompson,1730,HOME,LOSS,13.0
17338,2013-12-23,NOP,A. Aminu,R. Anderson,A. Davis,E. Gordon,J. Holiday,1730,AWAY,WIN,13.0
80,2013-12-23,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague,1724,AWAY,LOSS,2.0
6594,2013-12-23,LAL,P. Gasol,X. Henry,W. Johnson,J. Meeks,S. Williams,1729,AWAY,LOSS,27.0
7139,2013-12-23,MEM,T. Allen,M. Conley,J. Johnson,K. Koufos,Z. Randolph,1726,HOME,WIN,10.0
2252,2013-12-23,CLE,A. Bynum,A. Gee,K. Irving,C. Miles,T. Thompson,1721,HOME,LOSS,23.0
8230,2013-12-23,MIL,G. Antetokounmpo,C. Butler,B. Knight,K. Middleton,M. Raduljica,1720,AWAY,LOSS,1.0
3337,2013-12-23,DEN,W. Chandler,R. Foye,J. Hickson,T. Lawson,T. Mozgov,1728,HOME,LOSS,8.0
2796,2013-12-23,DAL,J. Calderón,S. Dalembert,M. Ellis,S. Marion,D. Nowitzki,1725,AWAY,WIN,7.0
14211,2013-12-23,UTA,T. Burke,D. Favors,G. Hayward,R. Jefferson,M. Williams,1726,AWAY,LOSS,10.0
10408,2013-12-23,ORL,A. Afflalo,G. Davis,T. Harris,J. Nelson,N. Vučević,1722,HOME,LOSS,5.0
7685,2013-12-25,MIA,S. Battier,C. Bosh,M. Chalmers,L. James,D. Wade,1732,AWAY,WIN,6.0
6595,2013-12-25,LAL,J. Farmar,P. Gasol,W. Johnson,J. Meeks,S. Williams,1732,HOME,LOSS,6.0
4967,2013-12-25,HOU,J. Harden,D. Howard,T. Jones,J. Lin,C. Parsons,1733,AWAY,WIN,13.0
1166,2013-12-25,BRK,A. Anderson,K. Garnett,J. Johnson,M. Teletović,D. Williams,1735,HOME,LOSS,17.0
6052,2013-12-25,LAC,J. Crawford,J. Dudley,B. Griffin,D. Jordan,C. Paul,1734,AWAY,LOSS,2.0
9321,2013-12-25,NYK,A. Bargnani,T. Chandler,I. Shumpert,J. Smith,B. Udrih,1731,HOME,LOSS,29.0
4424,2013-12-25,GSW,A. Bogut,S. Curry,A. Iguodala,D. Lee,K. Thompson,1734,HOME,WIN,2.0
1710,2013-12-25,CHI,C. Boozer,J. Butler,M. Dunleavy,K. Hinrich,J. Noah,1735,AWAY,WIN,17.0
9865,2013-12-25,OKC,K. Durant,S. Ibaka,K. Perkins,T. Sefolosha,R. Westbrook,1731,AWAY,WIN,29.0
13124,2013-12-25,SAS,M. Belinelli,T. Duncan,K. Leonard,T. Parker,T. Splitter,1733,HOME,LOSS,13.0
6053,2013-12-26,LAC,J. Crawford,J. Dudley,B. Griffin,D. Jordan,C. Paul,1739,AWAY,LOSS,4.0
12039,2013-12-26,POR,L. Aldridge,N. Batum,D. Lillard,R. Lopez,W. Matthews,1739,HOME,WIN,4.0
7140,2013-12-26,MEM,T. Allen,M. Conley,K. Koufos,T. Prince,Z. Randolph,1737,AWAY,LOSS,8.0
13125,2013-12-26,SAS,M. Belinelli,T. Duncan,K. Leonard,T. Parker,T. Splitter,1738,AWAY,WIN,9.0
81,2013-12-26,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague,1736,AWAY,WIN,2.0
4968,2013-12-26,HOU,J. Harden,D. Howard,T. Jones,J. Lin,C. Parsons,1737,HOME,WIN,8.0
2797,2013-12-26,DAL,D. Blair,J. Calderón,M. Ellis,S. Marion,D. Nowitzki,1738,HOME,LOSS,9.0
2253,2013-12-26,CLE,A. Bynum,E. Clark,K. Irving,C. Miles,T. Thompson,1736,HOME,LOSS,2.0
8778,2013-12-27,MIN,C. Brewer,K. Love,K. Martin,N. Peković,R. Rubio,1744,HOME,WIN,22.0
9866,2013-12-27,OKC,K. Durant,S. Ibaka,R. Jackson,K. Perkins,T. Sefolosha,1740,AWAY,WIN,4.0
16798,2013-12-27,CHO,G. Henderson,A. Jefferson,J. McRoberts,A. Tolliver,K. Walker,1740,HOME,LOSS,4.0
14212,2013-12-27,UTA,T. Burke,D. Favors,G. Hayward,R. Jefferson,M. Williams,1746,HOME,WIN,2.0
6596,2013-12-27,LAL,J. Farmar,W. Johnson,C. Kaman,J. Meeks,S. Williams,1746,AWAY,LOSS,2.0
10409,2013-12-27,ORL,A. Afflalo,G. Davis,T. Harris,J. Nelson,N. Vučević,1741,HOME,WIN,17.0
13665,2013-12-27,TOR,D. DeRozan,A. Johnson,K. Lowry,T. Ross,J. Valančiūnas,1743,AWAY,WIN,12.0
14752,2013-12-27,WAS,T. Ariza,B. Beal,T. Booker,M. Gortat,J. Wall,1744,AWAY,LOSS,22.0
11493,2013-12-27,PHO,E. Bledsoe,G. Dragić,C. Frye,M. Plumlee,P. Tucker,1748,AWAY,LOSS,29.0
4425,2013-12-27,GSW,A. Bogut,S. Curry,A. Iguodala,D. Lee,K. Thompson,1748,HOME,WIN,29.0
8231,2013-12-27,MIL,G. Antetokounmpo,J. Henson,E. İlyasova,B. Knight,K. Middleton,1742,AWAY,LOSS,11.0
9322,2013-12-27,NYK,A. Bargnani,T. Chandler,I. Shumpert,J. Smith,B. Udrih,1743,HOME,LOSS,12.0
3882,2013-12-27,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith,1741,AWAY,LOSS,17.0
12582,2013-12-27,SAC,D. Cousins,R. Gay,B. McLemore,I. Thomas,J. Thompson,1747,HOME,WIN,5.0
3338,2013-12-27,DEN,W. Chandler,J. Hamilton,J. Hickson,T. Lawson,T. Mozgov,1745,AWAY,LOSS,16.0
1167,2013-12-27,BRK,K. Garnett,J. Johnson,S. Livingston,P. Pierce,D. Williams,1742,HOME,WIN,11.0
7686,2013-12-27,MIA,S. Battier,C. Bosh,M. Chalmers,L. James,R. Mason,1747,AWAY,LOSS,5.0
17339,2013-12-27,NOP,A. Aminu,R. Anderson,A. Davis,J. Holiday,A. Morrow,1745,HOME,WIN,16.0
5508,2013-12-28,IND,P. George,R. Hibbert,G. Hill,L. Stephenson,D. West,1750,HOME,WIN,14.0
12040,2013-12-28,POR,L. Aldridge,N. Batum,D. Lillard,R. Lopez,W. Matthews,1759,HOME,LOSS,1.0
7141,2013-12-28,MEM,T. Allen,M. Conley,K. Koufos,T. Prince,Z. Randolph,1756,HOME,WIN,21.0
17340,2013-12-28,NOP,A. Aminu,R. Anderson,A. Davis,J. Holiday,B. Roberts,1755,AWAY,LOSS,9.0
1711,2013-12-28,CHI,C. Boozer,J. Butler,M. Dunleavy,K. Hinrich,J. Noah,1754,HOME,LOSS,22.0
2254,2013-12-28,CLE,E. Clark,K. Irving,C. Miles,T. Thompson,A. Varejão,1749,AWAY,LOSS,3.0
4969,2013-12-28,HOU,J. Harden,D. Howard,T. Jones,J. Lin,C. Parsons,1755,HOME,WIN,9.0
10952,2013-12-28,PHI,M. Carter-Williams,S. Hawes,H. Thompson,E. Williams,T. Young,1758,AWAY,LOSS,14.0
3339,2013-12-28,DEN,W. Chandler,J. Hamilton,J. Hickson,T. Lawson,T. Mozgov,1756,AWAY,LOSS,21.0
3883,2013-12-28,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith,1752,AWAY,LOSS,24.0
9323,2013-12-28,NYK,A. Bargnani,T. Chandler,I. Shumpert,J. Smith,B. Udrih,1751,AWAY,LOSS,15.0
7687,2013-12-28,MIA,S. Battier,M. Beasley,C. Bosh,M. Chalmers,D. Wade,1759,AWAY,WIN,1.0
1168,2013-12-28,BRK,K. Garnett,J. Johnson,P. Pierce,M. Teletović,D. Williams,1750,AWAY,LOSS,14.0
625,2013-12-28,BOS,B. Bass,A. Bradley,J. Crawford,J. Green,J. Sullinger,1749,HOME,WIN,3.0
8779,2013-12-28,MIN,C. Brewer,K. Love,K. Martin,N. Peković,R. Rubio,1757,AWAY,WIN,22.0
13666,2013-12-28,TOR,D. DeRozan,A. Johnson,K. Lowry,T. Ross,J. Valančiūnas,1751,HOME,WIN,15.0
14213,2013-12-28,UTA,T. Burke,D. Favors,G. Hayward,R. Jefferson,M. Williams,1760,AWAY,LOSS,8.0
8232,2013-12-28,MIL,G. Antetokounmpo,E. İlyasova,B. Knight,K. Middleton,L. Sanders,1757,HOME,LOSS,22.0
14753,2013-12-28,WAS,T. Ariza,B. Beal,T. Booker,M. Gortat,J. Wall,1752,HOME,WIN,24.0
6054,2013-12-28,LAC,J. Crawford,J. Dudley,B. Griffin,D. Jordan,C. Paul,1760,HOME,WIN,8.0
11494,2013-12-28,PHO,E. Bledsoe,G. Dragić,C. Frye,M. Plumlee,P. Tucker,1758,HOME,WIN,14.0
2798,2013-12-28,DAL,J. Calderón,S. Dalembert,M. Ellis,S. Marion,D. Nowitzki,1754,AWAY,WIN,22.0
16799,2013-12-28,CHO,G. Henderson,A. Jefferson,J. McRoberts,A. Tolliver,K. Walker,1753,AWAY,LOSS,2.0
82,2013-12-28,ATL,E. Brand,D. Carroll,K. Korver,P. Millsap,J. Teague,1753,HOME,WIN,2.0
12583,2013-12-29,SAC,D. Cousins,R. Gay,B. McLemore,I. Thomas,J. Thompson,1764,AWAY,LOSS,8.0
4970,2013-12-29,HOU,J. Harden,D. Howard,T. Jones,J. Lin,C. Parsons,1763,AWAY,LOSS,31.0
2255,2013-12-29,CLE,E. Clark,K. Irving,C. Miles,T. Thompson,A. Varejão,1761,HOME,LOSS,4.0
83,2013-12-29,ATL,E. Brand,K. Korver,P. Millsap,J. Teague,L. Williams,1762,AWAY,LOSS,7.0
10410,2013-12-29,ORL,A. Afflalo,G. Davis,T. Harris,J. Nelson,N. Vučević,1762,HOME,WIN,7.0
6597,2013-12-29,LAL,J. Farmar,J. Hill,W. Johnson,J. Meeks,S. Williams,1765,HOME,LOSS,7.0
4426,2013-12-29,GSW,A. Bogut,S. Curry,A. Iguodala,D. Lee,K. Thompson,1761,AWAY,WIN,4.0
13126,2013-12-29,SAS,M. Belinelli,T. Duncan,K. Leonard,T. Parker,T. Splitter,1764,HOME,WIN,8.0
9867,2013-12-29,OKC,K. Durant,S. Ibaka,R. Jackson,K. Perkins,T. Sefolosha,1763,HOME,WIN,31.0
10953,2013-12-29,PHI,M. Carter-Williams,S. Hawes,H. Thompson,E. Turner,T. Young,1765,AWAY,WIN,7.0
2799,2013-12-30,DAL,J. Calderón,S. Dalembert,M. Ellis,S. Marion,D. Nowitzki,1768,AWAY,WIN,2.0
12041,2013-12-30,POR,L. Aldridge,N. Batum,D. Lillard,R. Lopez,W. Matthews,1769,AWAY,LOSS,2.0
6055,2013-12-30,LAC,J. Crawford,J. Dudley,B. Griffin,D. Jordan,C. Paul,1772,HOME,LOSS,19.0
17341,2013-12-30,NOP,A. Aminu,R. Anderson,A. Davis,J. Holiday,A. Morrow,1769,HOME,WIN,2.0
3340,2013-12-30,DEN,W. Chandler,K. Faried,J. Hamilton,J. Hickson,T. Lawson,1770,HOME,LOSS,3.0
14754,2013-12-30,WAS,T. Ariza,B. Beal,T. Booker,M. Gortat,J. Wall,1766,AWAY,WIN,7.0
3884,2013-12-30,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith,1766,HOME,LOSS,7.0
8780,2013-12-30,MIN,C. Brewer,K. Love,K. Martin,N. Peković,R. Rubio,1768,HOME,LOSS,2.0
14214,2013-12-30,UTA,T. Burke,D. Favors,G. Hayward,R. Jefferson,M. Williams,1771,HOME,WIN,3.0
11495,2013-12-30,PHO,E. Bledsoe,G. Dragić,C. Frye,M. Plumlee,P. Tucker,1772,AWAY,WIN,19.0
16800,2013-12-30,CHO,G. Henderson,A. Jefferson,J. McRoberts,A. Tolliver,K. Walker,1771,AWAY,LOSS,3.0
1712,2013-12-30,CHI,C. Boozer,J. Butler,M. Dunleavy,K. Hinrich,J. Noah,1767,AWAY,WIN,4.0
7142,2013-12-30,MEM,T. Allen,M. Conley,K. Koufos,T. Prince,Z. Randolph,1767,HOME,LOSS,4.0
7688,2013-12-30,MIA,S. Battier,C. Bosh,M. Chalmers,L. James,D. Wade,1770,AWAY,WIN,3.0
12042,2013-12-31,POR,L. Aldridge,N. Batum,D. Lillard,R. Lopez,W. Matthews,1779,AWAY,WIN,4.0
6598,2013-12-31,LAL,J. Farmar,P. Gasol,J. Meeks,S. Williams,N. Young,1780,HOME,LOSS,15.0
10411,2013-12-31,ORL,A. Afflalo,G. Davis,T. Harris,J. Nelson,N. Vučević,1775,HOME,LOSS,13.0
12584,2013-12-31,SAC,D. Cousins,R. Gay,B. McLemore,I. Thomas,J. Thompson,1776,AWAY,WIN,4.0
1713,2013-12-31,CHI,C. Boozer,J. Butler,L. Deng,K. Hinrich,J. Noah,1778,HOME,LOSS,6.0
9868,2013-12-31,OKC,K. Durant,S. Ibaka,R. Jackson,K. Perkins,T. Sefolosha,1779,HOME,LOSS,4.0
84,2013-12-31,ATL,E. Brand,K. Korver,P. Millsap,M. Scott,J. Teague,1773,AWAY,WIN,1.0
626,2013-12-31,BOS,B. Bass,A. Bradley,J. Crawford,J. Green,J. Sullinger,1773,HOME,LOSS,1.0
5509,2013-12-31,IND,P. George,R. Hibbert,G. Hill,L. Stephenson,D. West,1774,HOME,WIN,15.0
4427,2013-12-31,GSW,A. Bogut,S. Curry,A. Iguodala,D. Lee,K. Thompson,1775,AWAY,WIN,13.0
8233,2013-12-31,MIL,G. Antetokounmpo,E. İlyasova,B. Knight,L. Ridnour,L. Sanders,1780,AWAY,WIN,15.0
13127,2013-12-31,SAS,M. Belinelli,T. Duncan,K. Leonard,T. Parker,T. Splitter,1777,HOME,WIN,21.0
13667,2013-12-31,TOR,D. DeRozan,A. Johnson,K. Lowry,T. Ross,J. Valančiūnas,1778,AWAY,WIN,6.0
1169,2013-12-31,BRK,K. Garnett,J. Johnson,P. Pierce,M. Teletović,D. Williams,1777,AWAY,LOSS,21.0
4971,2013-12-31,HOU,J. Harden,D. Howard,T. Jones,J. Lin,C. Parsons,1776,HOME,LOSS,4.0
2256,2013-12-31,CLE,E. Clark,K. Irving,C. Miles,T. Thompson,A. Varejão,1774,AWAY,LOSS,15.0
2800,2014-01-01,DAL,J. Calderón,S. Dalembert,M. Ellis,S. Marion,D. Nowitzki,1781,AWAY,WIN,9.0
10954,2014-01-01,PHI,M. Carter-Williams,S. Hawes,H. Thompson,E. Turner,T. Young,1784,AWAY,WIN,12.0
3341,2014-01-01,DEN,W. Chandler,K. Faried,R. Foye,J. Hickson,T. Lawson,1784,HOME,LOSS,12.0
16801,2014-01-01,CHO,G. Henderson,A. Jefferson,J. McRoberts,A. Tolliver,K. Walker,1785,AWAY,LOSS,27.0
5510,2014-01-01,IND,P. George,R. Hibbert,G. Hill,L. Stephenson,D. West,1782,AWAY,LOSS,13.0
13668,2014-01-01,TOR,D. DeRozan,A. Johnson,K. Lowry,T. Ross,J. Valančiūnas,1782,HOME,WIN,13.0
8781,2014-01-01,MIN,C. Brewer,K. Love,K. Martin,N. Peković,R. Rubio,1783,HOME,WIN,12.0
6056,2014-01-01,LAC,J. Crawford,J. Dudley,B. Griffin,D. Jordan,C. Paul,1785,HOME,WIN,27.0
17342,2014-01-01,NOP,A. Aminu,R. Anderson,A. Davis,E. Gordon,J. Holiday,1783,AWAY,LOSS,12.0
14755,2014-01-01,WAS,T. Ariza,B. Beal,T. Booker,M. Gortat,J. Wall,1781,HOME,LOSS,9.0
7143,2014-01-02,MEM,T. Allen,M. Conley,K. Koufos,T. Prince,Z. Randolph,1791,AWAY,WIN,8.0
8234,2014-01-02,MIL,G. Antetokounmpo,E. İlyasova,B. Knight,L. Ridnour,L. Sanders,1792,AWAY,LOSS,9.0
9869,2014-01-02,OKC,K. Durant,S. Ibaka,R. Jackson,K. Perkins,T. Sefolosha,1789,HOME,LOSS,2.0
10955,2014-01-02,PHI,M. Carter-Williams,S. Hawes,H. Thompson,E. Turner,T. Young,1794,AWAY,WIN,9.0
4428,2014-01-02,GSW,A. Bogut,S. Curry,A. Iguodala,D. Lee,K. Thompson,1787,AWAY,WIN,9.0
1170,2014-01-02,BRK,K. Garnett,J. Johnson,S. Livingston,P. Pierce,D. Williams,1789,AWAY,WIN,2.0
12585,2014-01-02,SAC,D. Cousins,R. Gay,B. McLemore,I. Thomas,J. Thompson,1794,HOME,LOSS,9.0
9324,2014-01-02,NYK,C. Anthony,A. Bargnani,T. Chandler,I. Shumpert,B. Udrih,1790,AWAY,WIN,4.0
2257,2014-01-02,CLE,E. Clark,J. Jack,C. Miles,T. Thompson,A. Varejão,1786,HOME,WIN,6.0
13128,2014-01-02,SAS,M. Belinelli,T. Duncan,K. Leonard,T. Parker,T. Splitter,1790,HOME,LOSS,4.0
12043,2014-01-02,POR,L. Aldridge,N. Batum,D. Lillard,R. Lopez,W. Matthews,1793,HOME,WIN,30.0
14215,2014-01-02,UTA,T. Burke,D. Favors,G. Hayward,R. Jefferson,M. Williams,1792,HOME,WIN,9.0
11496,2014-01-02,PHO,G. Dragić,C. Frye,G. Green,M. Plumlee,P. Tucker,1791,HOME,LOSS,8.0
1714,2014-01-02,CHI,C. Boozer,J. Butler,L. Deng,K. Hinrich,J. Noah,1788,HOME,WIN,12.0
16802,2014-01-02,CHO,G. Henderson,A. Jefferson,J. McRoberts,A. Tolliver,K. Walker,1793,AWAY,LOSS,30.0
10412,2014-01-02,ORL,A. Afflalo,G. Davis,T. Harris,J. Maxiell,J. Nelson,1786,AWAY,LOSS,6.0
627,2014-01-02,BOS,B. Bass,A. Bradley,J. Crawford,J. Green,J. Sullinger,1788,AWAY,LOSS,12.0
7689,2014-01-02,MIA,S. Battier,C. Bosh,M. Chalmers,L. James,D. Wade,1787,HOME,LOSS,9.0
17343,2014-01-03,NOP,A. Ajinça,A. Aminu,A. Davis,E. Gordon,J. Holiday,1797,AWAY,WIN,3.0
85,2014-01-03,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague,1796,HOME,LOSS,1.0
6599,2014-01-03,LAL,P. Gasol,K. Marshall,J. Meeks,R. Sacre,N. Young,1801,HOME,WIN,11.0
13669,2014-01-03,TOR,D. DeRozan,A. Johnson,K. Lowry,T. Ross,J. Valančiūnas,1795,AWAY,WIN,13.0
628,2014-01-03,BOS,B. Bass,A. Bradley,J. Crawford,J. Green,J. Sullinger,1797,HOME,LOSS,3.0
3342,2014-01-03,DEN,W. Chandler,K. Faried,R. Foye,J. Hickson,T. Lawson,1800,HOME,WIN,3.0
9325,2014-01-03,NYK,C. Anthony,A. Bargnani,T. Chandler,I. Shumpert,B. Udrih,1798,AWAY,LOSS,2.0
14216,2014-01-03,UTA,T. Burke,D. Favors,G. Hayward,R. Jefferson,M. Williams,1801,AWAY,LOSS,11.0
2801,2014-01-03,DAL,J. Calderón,S. Dalembert,M. Ellis,S. Marion,D. Nowitzki,1799,HOME,LOSS,7.0
4429,2014-01-03,GSW,A. Bogut,S. Curry,A. Iguodala,D. Lee,K. Thompson,1796,AWAY,WIN,1.0
14756,2014-01-03,WAS,T. Ariza,B. Beal,T. Booker,M. Gortat,J. Wall,1795,HOME,LOSS,13.0
6057,2014-01-03,LAC,J. Crawford,J. Dudley,B. Griffin,D. Jordan,C. Paul,1799,AWAY,WIN,7.0
4972,2014-01-03,HOU,J. Harden,D. Howard,T. Jones,J. Lin,C. Parsons,1798,HOME,WIN,2.0
7144,2014-01-03,MEM,T. Allen,M. Conley,K. Koufos,T. Prince,Z. Randolph,1800,AWAY,LOSS,3.0
12044,2014-01-04,POR,L. Aldridge,N. Batum,D. Lillard,R. Lopez,W. Matthews,1809,HOME,LOSS,2.0
10413,2014-01-04,ORL,A. Afflalo,G. Davis,T. Harris,J. Nelson,A. Nicholson,1803,HOME,LOSS,16.0
6058,2014-01-04,LAC,D. Collison,J. Crawford,J. Dudley,B. Griffin,D. Jordan,1807,AWAY,LOSS,24.0
16803,2014-01-04,CHO,C. Douglas-Roberts,G. Henderson,A. Jefferson,J. McRoberts,K. Walker,1810,AWAY,WIN,10.0
86,2014-01-04,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague,1805,AWAY,LOSS,7.0
11497,2014-01-04,PHO,G. Dragić,C. Frye,G. Green,M. Plumlee,P. Tucker,1808,HOME,WIN,16.0
17344,2014-01-04,NOP,A. Ajinça,A. Aminu,A. Davis,E. Gordon,J. Holiday,1802,AWAY,LOSS,17.0
9870,2014-01-04,OKC,K. Durant,S. Ibaka,R. Jackson,K. Perkins,T. Sefolosha,1806,AWAY,WIN,4.0
8782,2014-01-04,MIN,C. Brewer,K. Love,K. Martin,N. Peković,R. Rubio,1806,HOME,LOSS,4.0
7690,2014-01-04,MIA,C. Bosh,M. Chalmers,L. James,R. Lewis,D. Wade,1803,AWAY,WIN,16.0
12586,2014-01-04,SAC,D. Cousins,R. Gay,B. McLemore,I. Thomas,J. Thompson,1810,HOME,LOSS,10.0
1171,2014-01-04,BRK,R. Evans,J. Johnson,S. Livingston,P. Pierce,D. Williams,1804,HOME,WIN,7.0
1715,2014-01-04,CHI,J. Butler,L. Deng,T. Gibson,K. Hinrich,J. Noah,1805,HOME,WIN,7.0
5511,2014-01-04,IND,P. George,R. Hibbert,G. Hill,L. Stephenson,D. West,1802,HOME,WIN,17.0
8235,2014-01-04,MIL,G. Antetokounmpo,E. İlyasova,B. Knight,L. Ridnour,L. Sanders,1808,AWAY,LOSS,16.0
2258,2014-01-04,CLE,E. Clark,J. Jack,C. Miles,T. Thompson,A. Varejão,1804,AWAY,LOSS,7.0
10956,2014-01-04,PHI,M. Carter-Williams,S. Hawes,H. Thompson,E. Turner,T. Young,1809,AWAY,WIN,2.0
13129,2014-01-04,SAS,M. Belinelli,T. Duncan,K. Leonard,T. Parker,T. Splitter,1807,HOME,WIN,24.0
2259,2014-01-05,CLE,E. Clark,M. Dellavedova,C. Miles,T. Thompson,A. Varejão,1812,HOME,LOSS,4.0
2802,2014-01-05,DAL,D. Blair,J. Calderón,M. Ellis,S. Marion,D. Nowitzki,1816,HOME,LOSS,12.0
13670,2014-01-05,TOR,D. DeRozan,A. Johnson,K. Lowry,T. Ross,J. Valančiūnas,1813,AWAY,LOSS,5.0
9326,2014-01-05,NYK,C. Anthony,A. Bargnani,T. Chandler,I. Shumpert,B. Udrih,1816,AWAY,WIN,12.0
6600,2014-01-05,LAL,P. Gasol,W. Johnson,K. Marshall,J. Meeks,R. Sacre,1817,HOME,LOSS,22.0
629,2014-01-05,BOS,B. Bass,A. Bradley,J. Crawford,J. Green,J. Sullinger,1815,AWAY,LOSS,23.0
3343,2014-01-05,DEN,W. Chandler,K. Faried,R. Foye,J. Hickson,T. Lawson,1817,AWAY,WIN,22.0
9871,2014-01-05,OKC,K. Durant,S. Ibaka,R. Jackson,K. Perkins,T. Sefolosha,1815,HOME,WIN,23.0
5512,2014-01-05,IND,P. George,R. Hibbert,G. Hill,L. Stephenson,D. West,1812,AWAY,WIN,4.0
7145,2014-01-05,MEM,M. Conley,K. Koufos,M. Miller,T. Prince,Z. Randolph,1811,AWAY,WIN,28.0
14757,2014-01-05,WAS,T. Ariza,B. Beal,T. Booker,M. Gortat,J. Wall,1814,HOME,LOSS,16.0
4430,2014-01-05,GSW,A. Bogut,S. Curry,A. Iguodala,D. Lee,K. Thompson,1814,AWAY,WIN,16.0
7691,2014-01-05,MIA,C. Bosh,M. Chalmers,L. James,R. Lewis,D. Wade,1813,HOME,WIN,5.0
3885,2014-01-05,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith,1811,HOME,LOSS,28.0
10414,2014-01-06,ORL,A. Afflalo,G. Davis,T. Harris,J. Nelson,N. Vučević,1820,AWAY,LOSS,20.0
87,2014-01-06,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague,1819,AWAY,LOSS,5.0
10957,2014-01-06,PHI,M. Carter-Williams,S. Hawes,H. Thompson,E. Turner,T. Young,1818,HOME,LOSS,31.0
8783,2014-01-06,MIN,C. Brewer,K. Love,K. Martin,N. Peković,R. Rubio,1818,AWAY,WIN,31.0
6059,2014-01-06,LAC,D. Collison,J. Crawford,J. Dudley,B. Griffin,D. Jordan,1820,HOME,WIN,20.0
1172,2014-01-06,BRK,A. Anderson,K. Garnett,J. Johnson,S. Livingston,P. Pierce,1819,HOME,WIN,5.0
1716,2014-01-07,CHI,J. Butler,M. Dunleavy,T. Gibson,K. Hinrich,J. Noah,1826,HOME,WIN,5.0
10958,2014-01-07,PHI,M. Carter-Williams,S. Hawes,H. Thompson,E. Turner,T. Young,1822,AWAY,LOSS,18.0
11498,2014-01-07,PHO,G. Dragić,C. Frye,G. Green,M. Plumlee,P. Tucker,1826,AWAY,LOSS,5.0
9872,2014-01-07,OKC,K. Durant,R. Jackson,P. Jones,K. Perkins,T. Sefolosha,1831,AWAY,LOSS,11.0
9327,2014-01-07,NYK,C. Anthony,A. Bargnani,R. Felton,K. Martin,I. Shumpert,1825,HOME,WIN,4.0
4431,2014-01-07,GSW,A. Bogut,S. Curry,A. Iguodala,D. Lee,K. Thompson,1828,AWAY,WIN,21.0
3886,2014-01-07,DET,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,J. Smith,1825,AWAY,LOSS,4.0
7692,2014-01-07,MIA,C. Bosh,N. Cole,L. James,R. Lewis,D. Wade,1824,HOME,WIN,19.0
