,date,Team,Player1,Player2,Player3,Player4,Player5,game_id,Location,Outcome,spread
10874,2013-01-02,PHI,L. Allen,J. Holiday,J. Richardson,E. Turner,T. Young,472,AWAY,LOSS,6.0
9786,2013-01-02,OKC,K. Durant,S. Ibaka,K. Perkins,T. Sefolosha,R. Westbrook,471,HOME,LOSS,17.0
1631,2013-01-02,CHI,C. Boozer,L. Deng,T. Gibson,R. Hamilton,K. Hinrich,465,AWAY,WIN,2.0
14131,2013-01-02,UTA,R. Foye,A. Jefferson,P. Millsap,J. Tinsley,M. Williams,473,HOME,WIN,22.0
8150,2013-01-02,MIL,M. Daniels,M. Ellis,B. Jennings,L. Mbah a Moute,L. Sanders,470,HOME,LOSS,7.0
4344,2013-01-02,GSW,H. Barnes,S. Curry,F. Ezeli,D. Lee,K. Thompson,474,HOME,WIN,21.0
1088,2013-01-02,BRK,R. Evans,J. Johnson,B. Lopez,G. Wallace,D. Williams,471,AWAY,WIN,17.0
14674,2013-01-02,WAS,B. Beal,N. Hilário,E. Okafor,G. Temple,M. Webster,464,AWAY,LOSS,8.0
5973,2013-01-02,LAC,M. Barnes,W. Green,B. Griffin,D. Jordan,C. Paul,474,AWAY,LOSS,21.0
17262,2013-01-02,NOP,A. Davis,R. Lopez,A. Rivers,L. Thomas,G. Vásquez,469,AWAY,LOSS,12.0
545,2013-01-02,BOS,A. Bradley,J. Collins,K. Garnett,P. Pierce,R. Rondo,467,HOME,LOSS,10.0
13588,2013-01-02,TOR,J. Calderón,E. Davis,D. DeRozan,A. Gray,M. Piétrus,466,HOME,WIN,23.0
11416,2013-01-02,PHO,G. Dragić,J. Dudley,M. Gortat,L. Scola,P. Tucker,472,HOME,WIN,6.0
8695,2013-01-02,MIN,A. Kirilenko,K. Love,N. Peković,L. Ridnour,A. Shved,473,AWAY,LOSS,22.0
5430,2013-01-02,IND,D. Augustin,P. George,R. Hibbert,L. Stephenson,D. West,464,HOME,WIN,8.0
3262,2013-01-03,DEN,K. Faried,D. Gallinari,A. Iguodala,K. Koufos,A. Miller,476,HOME,LOSS,4.0
13048,2013-01-03,SAS,T. Duncan,D. Green,K. Leonard,T. Parker,T. Splitter,475,AWAY,LOSS,17.0
8696,2013-01-03,MIN,A. Kirilenko,K. Love,N. Peković,L. Ridnour,A. Shved,476,AWAY,WIN,4.0
9243,2013-01-03,NYK,C. Anthony,R. Brewer,M. Camby,T. Chandler,J. Kidd,475,HOME,WIN,17.0
5431,2013-01-04,IND,D. Augustin,P. George,R. Hibbert,L. Stephenson,D. West,481,AWAY,LOSS,19.0
14132,2013-01-04,UTA,R. Foye,A. Jefferson,P. Millsap,J. Tinsley,M. Williams,486,AWAY,WIN,7.0
9787,2013-01-04,OKC,K. Durant,S. Ibaka,K. Perkins,T. Sefolosha,R. Westbrook,484,HOME,WIN,24.0
7060,2013-01-04,MEM,T. Allen,M. Conley,M. Gasol,R. Gay,M. Speights,482,HOME,LOSS,2.0
10875,2013-01-04,PHI,L. Allen,J. Holiday,J. Richardson,E. Turner,T. Young,484,AWAY,LOSS,24.0
13589,2013-01-04,TOR,J. Calderón,E. Davis,D. DeRozan,A. Gray,M. Piétrus,478,HOME,LOSS,9.0
7606,2013-01-04,MIA,C. Bosh,M. Chalmers,U. Haslem,L. James,D. Wade,483,HOME,LOSS,7.0
2177,2013-01-04,CLE,A. Gee,K. Irving,C. Miles,T. Thompson,T. Zeller,477,AWAY,WIN,2.0
3804,2013-01-04,DET,B. Knight,J. Maxiell,G. Monroe,T. Prince,K. Singler,480,HOME,WIN,1.0
12505,2013-01-04,SAC,D. Cousins,F. García,J. Salmons,I. Thomas,J. Thompson,478,AWAY,WIN,9.0
11960,2013-01-04,POR,L. Aldridge,N. Batum,J. Hickson,D. Lillard,W. Matthews,482,AWAY,WIN,2.0
4888,2013-01-04,HOU,Ö. Aşık,J. Harden,J. Lin,M. Morris,C. Parsons,485,AWAY,WIN,14.0
8151,2013-01-04,MIL,M. Ellis,B. Jennings,L. Mbah a Moute,L. Sanders,E. Udoh,485,HOME,LOSS,14.0
